path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_D2_343_0.00482_3.89612.wav;0,00482;3,89612;gostaríamos que (vocês) falassem a respeito da da cida::de e do comércio;gostaríamos que vocês falassem a respeito da da cidade e do comércio;3,8912999999999998;gostaríamos que veis falar  respeito da cidade do comércio;ɡwɒstadjumɪskɪveːsfalaːnsɪrɪspektuːðdasɪdaːdʒdukomɛs;[{'text': 'gostaríamos', 'timestamp': (0.16, 0.62)}, {'text': 'que', 'timestamp': (0.74, 0.8)}, {'text': 'veis', 'timestamp': (0.86, 1.02)}, {'text': 'falar', 'timestamp': (1.1, 1.34)}, {'text': 'respeito', 'timestamp': (1.64, 2.0)}, {'text': 'da', 'timestamp': (2.28, 2.34)}, {'text': 'cidade', 'timestamp': (2.5, 3.02)}, {'text': 'do', 'timestamp': (3.12, 3.16)}, {'text': 'comércio', 'timestamp': (3.24, 3.8)}];0,4166666666666667;0,4166666666666667;0,5462962962962963;0,19117647058823528
./audios/SP_D2_343_25.19421_25.91568.wav;25,19421;25,91568;[está está;está está;0,7214699999999965;nada;nb;[{'text': 'nada', 'timestamp': (1.02, 1.42)}];1,0;1,0;1,0;1,0
./audios/SP_D2_343_26.25351_27.92529.wav;26,25351;27,92529;[eu já eu já deixo no [automá::tico;eu já eu já deixo no automático;1,6717800000000018;oo já deros não tomaa;udoʃʃadɪʃnaltomaːda;[{'text': 'oo', 'timestamp': (0.04, 0.16)}, {'text': 'já', 'timestamp': (0.48, 0.54)}, {'text': 'deros', 'timestamp': (0.62, 0.8)}, {'text': 'não', 'timestamp': (0.88, 0.96)}, {'text': 'tomaa', 'timestamp': (1.06, 1.5)}];0,8571428571428571;0,8571428571428571;0,9714285714285714;0,6129032258064516
./audios/SP_D2_343_29.44861_29.74003.wav;29,44861;29,74003;[não;não;0,29142000000000223;el;;[{'text': 'el', 'timestamp': (1.0, 1.12)}];1,0;1,0;1,0;1,0
./audios/SP_D2_343_554.48222_556.25503.wav;554,48222;556,25503;pena que se espere tanto né?;pena que se espere tanto né;1,7728100000000495;penase espere tanto;vnɪksɪsbɛndɛrntu;[{'text': 'penase', 'timestamp': (0.1, 0.54)}, {'text': 'espere', 'timestamp': (0.62, 0.92)}, {'text': 'tanto', 'timestamp': (1.04, 1.38)}];0,6666666666666666;0,6666666666666666;0,7777777777777778;0,2962962962962963
./audios/SP_D2_343_556.94351_558.32706.wav;556,94351;558,32706;para tomar as medidas sérias;para tomar as medidas sérias;1,3835500000000138;tomaros metida sere;tmasmiːcɪdɛsɛɪn;[{'text': 'tomaros', 'timestamp': (0.22, 0.48)}, {'text': 'metida', 'timestamp': (0.54, 0.84)}, {'text': 'sere', 'timestamp': (1.0, 1.3)}];1,0;1,0;1,0;0,4642857142857143
./audios/SP_D2_343_914.93409_916.44954.wav;914,93409;916,44954;((risos)) [sugestões;sugestões;1,515449999999987;cotetinidade;motyʒanida;[{'text': 'cotetinidade', 'timestamp': (0.56, 1.4)}];1,0;1,0;1,0;1,2222222222222223
./audios/SP_D2_343_916.67842_918.94386.wav;916,67842;918,94386;e:: a opinião de vocês a respeito do metrô?;e a opinião de vocês a respeito do metrô;2,2654400000000123;e a opinião de vocês a respeito do metrô;jaopinjadmosesenespesdometro;[{'text': 'e', 'timestamp': (0.18, 0.2)}, {'text': 'a', 'timestamp': (0.32, 0.34)}, {'text': 'opinião', 'timestamp': (0.44, 0.72)}, {'text': 'de', 'timestamp': (0.8, 0.84)}, {'text': 'vocês', 'timestamp': (0.92, 1.2)}, {'text': 'a', 'timestamp': (1.28, 1.3)}, {'text': 'respeito', 'timestamp': (1.36, 1.7)}, {'text': 'do', 'timestamp': (1.76, 1.8)}, {'text': 'metrô', 'timestamp': (1.88, 2.14)}];0,0;0,0;0,0;0,0
./audios/SP_D2_343_925.50985_926.30163.wav;925,50985;926,30163;[ao contrário;ao contrário;0,791780000000017;vou encontrar;okomtɾan;[{'text': 'vou', 'timestamp': (1.0, 1.08)}, {'text': 'encontrar', 'timestamp': (1.16, 1.62)}];1,0;1,0;1,0;0,5833333333333334
./audios/SP_D2_343_948.43206_949.35216.wav;948,43206;949,35216;[ah:: vale a pena;ah vale a pena;0,9201000000000477;para o bana pen;aɾbanpen;[{'text': 'para', 'timestamp': (1.0, 1.16)}, {'text': 'o', 'timestamp': (1.22, 1.24)}, {'text': 'bana', 'timestamp': (1.3, 1.52)}, {'text': 'pen', 'timestamp': (1.64, 1.88)}];1,0;1,0;1,0;0,6428571428571429
