start_sec;end_sec;mark;duration
0,0;0,00482;...;0,00482
3,22667;805,23519;...;802,00852
808,13254;1191,35339;...;383,22085000000004
1191,35339;1191,72682;[((risos));0,3734300000000985
1191,72682;1656,87414;...;465,1473199999998
1658,40387;1659,86477;...;1,4608999999998105
1659,86477;1661,23831;[o cinema atual?;1,3735400000000482
1661,23831;1844,35742;...;183,1191100000001
1846,76004;1847,16;...;0,39996000000019194
1848,23969;2146,79058;...;298,55088999999975
2146,79058;2147,03527;[não;0,24468999999999141
2147,03527;2148,18372;mais [( );1,148450000000139
2149,92116;2150,38678;...;0,4656199999999444
2150,38678;2152,5564;poderiam comentar alguma coisa? ((risos));2,1696200000001227
2152,5564;2435,74437;...;283,18796999999995
2435,74437;2436,31165;[uhum;0,5672800000002098
2436,31165;2466,72046;...;30,408809999999903
2466,72046;2467,2365;((risos));0,5160399999999754
2467,2365;2469,36412;...;2,1276200000002063
2469,36412;2470,71577;[aqui em São Paulo ( );1,3516499999996086
2470,71577;2472,48435;...;1,7685800000003837
2472,48435;2472,70968;((risos));0,225329999999758
2472,70968;2480,01325;...;7,303570000000036
2481,69354;2484,12706;...;2,4335199999995893
2489,58442;2691,88511;...;202,30069000000003
2691,88511;2692,56498;[((risos));0,6798699999999371
2692,56498;2754,34643;...;61,78144999999995
2754,34643;2758,89996;vocês acham então que o noticiário... em tevê tem melhorado [bastante;4,553530000000137
2758,89996;2765,5529;...;6,652939999999944
2765,5529;2766,64867;[em que [sentido?;1,0957699999999022
2766,64867;2965,04443;...;198,39575999999988
2968,42306;2969,03798;...;0,6149199999999837
2969,03798;2970,44856;( );1,4105799999997544
2970,44856;3125,16856;...;154,72000000000025
3125,16856;3126,09454;[( ) [((risos));0,9259799999999814
3126,09454;3206,70816;...;80,61362000000008
3206,70816;3207,06;((risos));0,35183999999981097
3207,06;3214,72237;...;7,66237000000001
3214,72237;3216,18658;antipsicológico ((risos));1,4642100000000937
3220,95303;3223,15848;...;2,205449999999928
3225,77033;3305,77249;...;80,00216
3305,77249;3308,01306;e a dona Isa também [(concorda?);2,240570000000389
3308,01306;3310,92;...;2,9069399999998495
0,0;0,00482;...;0,00482
3,22667;805,23519;...;802,00852
808,13254;1191,35339;...;383,22085000000004
1191,35339;1191,72682;[((risos));0,3734300000000985
1191,72682;1656,87414;...;465,1473199999998
1658,40387;1659,86477;...;1,4608999999998105
1659,86477;1661,23831;[o cinema atual?;1,3735400000000482
1661,23831;1844,35742;...;183,1191100000001
1846,76004;1847,16;...;0,39996000000019194
1848,23969;2146,79058;...;298,55088999999975
2146,79058;2147,03527;[não;0,24468999999999141
2147,03527;2148,18372;mais [( );1,148450000000139
2148,29374;2148,58285;...;0,28910999999970954
2149,92116;2150,38678;...;0,4656199999999444
2151,88569;2152,5564;((risos));0,6707099999998718
2152,5564;2435,74437;...;283,18796999999995
2435,74437;2436,31165;[uhum;0,5672800000002098
2436,31165;2466,72046;...;30,408809999999903
2466,72046;2467,2365;((risos));0,5160399999999754
2467,2365;2469,36412;...;2,1276200000002063
2469,36412;2470,71577;[aqui em São Paulo ( );1,3516499999996086
2470,71577;2472,48435;...;1,7685800000003837
2472,48435;2472,70968;((risos));0,225329999999758
2472,70968;2480,01325;...;7,303570000000036
