path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_D2_360_11.46261_11.70029.wav;11,46261;11,70029;isso;isso;0,237680000000001;;;[];1,0;1,0;1,0;1,0
./audios/SP_D2_360_599.95067_600.27299.wav;599,95067;600,27299;uhum;aham;0,3223200000001043;;;[];1,0;1,0;1,0;1,0
./audios/SP_D2_360_1641.87501_1649.4068.wav;1641,87501;1649,4068;ahn... para SER procurador do Estado... a profissão é específica não pode ser outra profissão nem assessoria nada nada;ah para ser procurador do estado a profissão é específica não pode ser outra profissão nem assessoria nada nada;7,531790000000001;pra ser procurador do estado a profissão é específica não pode ser outra profissão nem acessoria nada nada;neprassenprokuɾadoɾmustaaprofesonespesitkanomfodsewodprofesjɔnleniansesodijnadona;[{'text': 'pra', 'timestamp': (0.96, 1.06)}, {'text': 'ser', 'timestamp': (1.24, 1.34)}, {'text': 'procurador', 'timestamp': (1.46, 1.98)}, {'text': 'do', 'timestamp': (2.06, 2.1)}, {'text': 'estado', 'timestamp': (2.2, 2.62)}, {'text': 'a', 'timestamp': (3.16, 3.18)}, {'text': 'profissão', 'timestamp': (3.24, 3.58)}, {'text': 'é', 'timestamp': (3.64, 3.66)}, {'text': 'específica', 'timestamp': (3.72, 4.42)}, {'text': 'não', 'timestamp': (4.54, 4.62)}, {'text': 'pode', 'timestamp': (4.72, 4.88)}, {'text': 'ser', 'timestamp': (4.96, 5.04)}, {'text': 'outra', 'timestamp': (5.12, 5.26)}, {'text': 'profissão', 'timestamp': (5.32, 5.78)}, {'text': 'nem', 'timestamp': (5.86, 5.98)}, {'text': 'acessoria', 'timestamp': (6.1, 6.78)}, {'text': 'nada', 'timestamp': (6.9, 7.16)}, {'text': 'nada', 'timestamp': (7.28, 7.46)}];0,15789473684210525;0,15789473684210525;0,2514619883040936;0,05405405405405406
./audios/SP_D2_360_1914.28841_1914.93696.wav;1914,28841;1914,93696;por quê é?;por quê é;0,6485499999998865;por quê;fote;[{'text': 'por', 'timestamp': (1.04, 1.12)}, {'text': 'quê', 'timestamp': (1.26, 1.34)}];0,3333333333333333;0,3333333333333333;0,33333333333333337;0,2222222222222222
./audios/SP_D2_360_2401.75296_2404.34777.wav;2401,75296;2404,34777;o seu marido sempre exerceu essa profissão que ele tem agora?;o seu marido sempre exerceu essa profissão que ele tem agora;2,5948100000000522;osenori simpre veiser ss cofisão de teban;sobaditiptidesesateba;[{'text': 'osenori', 'timestamp': (0.06, 0.38)}, {'text': 'simpre', 'timestamp': (0.56, 0.78)}, {'text': 'veiser', 'timestamp': (0.88, 1.18)}, {'text': 'ss', 'timestamp': (1.26, 1.32)}, {'text': 'cofisão', 'timestamp': (1.42, 1.8)}, {'text': 'de', 'timestamp': (1.86, 1.92)}, {'text': 'teban', 'timestamp': (2.12, 2.48)}];1,0;1,0;1,0;0,5
./audios/SP_D2_360_3661.41244_3663.60938.wav;3661,41244;3663,60938;hum::... dez minutos;uh dez minutos;2,196939999999813;bem;ɛ;[{'text': 'bem', 'timestamp': (1.14, 1.28)}];1,0;1,0;1,0;0,8571428571428571
./audios/SP_D2_360_3691.6357_3691.96201.wav;3691,6357;3691,96201;sim;sim;0,326310000000376;;t;[];1,0;1,0;1,0;1,0
./audios/SP_D2_360_3693.93376_3694.2698.wav;3693,93376;3694,2698;é;é;0,3360400000001391;;h;[];1,0;1,0;1,0;1,0
./audios/SP_D2_360_3704.55829_3705.6687.wav;3704,55829;3705,6687;aqui não não tem;aqui não não tem;1,110410000000229;meu fei;n;[{'text': 'meu', 'timestamp': (0.54, 0.62)}, {'text': 'fei', 'timestamp': (0.74, 0.88)}];1,0;1,0;1,0;0,8125
./audios/SP_D2_360_3747.94253_3756.26506.wav;3747,94253;3756,26506;é não não... a senhora poderia usar... o telefone não é público não é:: da secretaria lá da da portaria da::;é não não a senhora poderia usar o telefone não é público não é da secretaria lá da da portaria da;8,32253000000037;no não o senhora poderia usar o telefone muito públicoma não ésasedesailada fortadera;ekinanasuarakodelizatelefonnesmonnoezasedesaevaddopotadeo;[{'text': 'no', 'timestamp': (0.52, 0.62)}, {'text': 'não', 'timestamp': (0.74, 0.88)}, {'text': 'o', 'timestamp': (1.14, 1.16)}, {'text': 'senhora', 'timestamp': (1.22, 1.44)}, {'text': 'poderia', 'timestamp': (1.5, 1.8)}, {'text': 'usar', 'timestamp': (1.9, 2.16)}, {'text': 'o', 'timestamp': (3.52, 3.54)}, {'text': 'telefone', 'timestamp': (3.64, 4.16)}, {'text': 'muito', 'timestamp': (4.24, 4.44)}, {'text': 'públicoma', 'timestamp': (4.52, 5.12)}, {'text': 'não', 'timestamp': (5.52, 5.64)}, {'text': 'ésasedesailada', 'timestamp': (5.86, 7.56)}, {'text': 'fortadera', 'timestamp': (7.64, 8.2)}];0,6666666666666666;0,6666666666666666;0,8205128205128205;0,30612244897959184
