start_sec;end_sec;mark;text;duration
4,1183;11,1106;a senhora... procurou dar espaço de tempo entre um e OUtro... [ou aconteceu;a senhora procurou dar espaço de tempo entre um e outro ou aconteceu;6,9923
11,46261;11,70029;isso;isso;0,237680000000001
268,92422;270,02663;[tranqui::la;tranquila;1,1024100000000203
586,73626;588,67112;[os seus filhos estão com que idade [(Heloísa)?;os seus filhos estão com que idade heloísa;1,9348599999999578
589,3791;593,51168;[e eles têm noção de ho::ras... noção [de:: hoRÁrio?;e eles têm noção de horas noção de horário;4,132579999999962
599,95067;600,27299;uhum;aham;0,3223200000001043
667,40409;669,7703;[quanto tempo demora... essa refeição?;quanto tempo demora essa refeição;2,3662100000000237
1163,41647;1167,82163;[e qual é o prazo Heloísa que eles dão... para os concursados assumirem?;e qual é o prazo heloísa que eles dão para os concursados assumirem;4,4051600000000235
1168,19047;1169,91815;existe [alguma lei assim?;existe alguma lei assim;1,727679999999964
1295,76892;1305,40787;você falou em:: carreira... boa para a mulher né?... que tipo de carreiras... fora essa... seriam digamos CONveniente [( )?;você falou em carreira boa para a mulher né que tipo de carreiras fora essa seriam digamos conveniente;9,638950000000023
1641,87501;1649,4068;ahn... para SER procurador do Estado... a profissão é específica não pode ser outra profissão nem assessoria nada nada;ah para ser procurador do estado a profissão é específica não pode ser outra profissão nem assessoria nada nada;7,531790000000001
1914,28841;1914,93696;por quê é?;por quê é;0,6485499999998865
1976,25826;1989,72052;dentro dessas difíceis de serem encontradas... qual seria uma outra assim muito::... [de BAIxa procura e ao mesmo tempo que se necessita dessa ela... [é difícil?;dentro dessas difíceis de serem encontradas qual seria uma outra assim muito de baixa procura e ao mesmo tempo que se necessita dessa ela é difícil;13,462260000000015
2121,32562;2123,9805;[qual seria a tradução direta desse headhunter?;qual seria a tradução direta desse headhunter;2,6548800000000483
2401,75296;2404,34777;o seu marido sempre exerceu essa profissão que ele tem agora?;o seu marido sempre exerceu essa profissão que ele tem agora;2,5948100000000522
2612,92338;2614,16304;[o que a senhora gostaria de fazer?;o que a senhora gostaria de fazer;1,2396599999997306
2651,92347;2658,48935;na sua casa já há alguma tendência?... [com relá/... é... (em relação à profissão);na sua casa já há alguma tendência com relá é em relação à profissão;6,565879999999652
2765,51924;2767,34105;a senhora lembra [quais são essas outras?;a senhora lembra quais são essas outras;1,821809999999914
3044,82861;3047,4634;não:: [pode falar à vonta::de nós não temos horário;não pode falar à vontade nós não temos horário;2,6347900000000664
3358,46662;3365,65832;[e quando vocês quiseram... escolher uma carreira... o que as levou escolher a carreira?;e quando vocês quiseram escolher uma carreira o que as levou escolher a carreira;7,191699999999855
3400,43085;3401,37567;[diplomacia;diplomacia;0,9448199999997087
3651,49549;3652,83666;[a senhora está com horário?;a senhora está com horário;1,3411700000001474
3661,41244;3663,60938;hum::... dez minutos;uh dez minutos;2,196939999999813
3681,1399;3681,90452;[(porque)::;porque;0,7646199999999226
3682,82059;3684,4716;( ) entre vocês duas não é?;entre vocês duas não é;1,651010000000042
3689,38566;3690,97335;[eu posso buscá-las para a senhora;eu posso buscálas para a senhora;1,5876900000002934
3691,6357;3691,96201;sim;sim;0,326310000000376
3693,93376;3694,2698;é;é;0,3360400000001391
3700,99443;3703,36832;a senhora acha que... vai criar [problema?;a senhora acha que vai criar problema;2,3738899999998466
3704,55829;3705,6687;aqui não não tem;aqui não não tem;1,110410000000229
3747,94253;3756,26506;é não não... a senhora poderia usar... o telefone não é público não é:: da secretaria lá da da portaria da::;é não não a senhora poderia usar o telefone não é público não é da secretaria lá da da portaria da;8,32253000000037
4,1183;4,69153;a senhora;a senhora;0,5732300000000006
5,47537;8,11992;procurou dar espaço de tempo entre um e OUtro;procurou dar espaço de tempo entre um e outro;2,6445500000000006
9,98674;11,1106;[ou aconteceu;ou aconteceu;1,1238600000000005
11,46261;11,70029;isso;isso;0,237680000000001
268,92422;270,02663;[tranqui::la;tranquila;1,1024100000000203
586,73626;588,67112;[os seus filhos estão com que idade [(Heloísa)?;os seus filhos estão com que idade heloísa;1,9348599999999578
589,3791;591,0375;[e eles têm noção de ho::ras;e eles têm noção de horas;1,6584000000000287
591,34871;592,65085;noção [de::;noção de;1,3021400000000085
592,65085;593,51168;hoRÁrio?;horário;0,8608299999999645
599,95067;600,27299;uhum;aham;0,3223200000001043
667,40409;668,53797;[quanto tempo demora;quanto tempo demora;1,1338799999999765
668,77508;669,7703;essa refeição?;essa refeição;0,9952200000000175
1163,41647;1164,43822;[e qual é o prazo;e qual é o prazo;1,021750000000111
1164,43822;1165,02694;Heloísa;heloísa;0,5887199999999666
1165,02694;1165,70079;que eles dão;que eles dão;0,6738500000001295
1166,13347;1167,82163;para os concursados assumirem?;para os concursados assumirem;1,6881599999999253
1168,19047;1169,91815;existe [alguma lei assim?;existe alguma lei assim;1,727679999999964
1295,76892;1297,25323;você falou em:: carreira;você falou em carreira;1,4843100000000504
1297,53058;1298,66051;boa para a mulher né?;boa para a mulher né;1,1299299999998311
1299,12276;1300,40532;que tipo de carreiras;que tipo de carreiras;1,2825600000001032
1300,91893;1301,63798;fora essa;fora essa;0,7190499999999247
1302,18241;1304,15466;seriam digamos CONveniente;seriam digamos conveniente;1,972250000000031
1641,87501;1642,39222;ahn;ah;0,5172099999999773
1642,82347;1644,49513;para SER procurador do Estado;para ser procurador do estado;1,6716599999999744
1644,99307;1649,4068;a profissão é específica não pode ser outra profissão nem assessoria nada nada;a profissão é específica não pode ser outra profissão nem assessoria nada nada;4,413729999999987
1914,28841;1914,93696;por quê é?;por quê é;0,6485499999998865
1976,25826;1979,48778;dentro dessas difíceis de serem encontradas;dentro dessas difíceis de serem encontradas;3,229519999999866
1980,80344;1982,93999;qual seria uma outra assim muito::;qual seria uma outra assim muito;2,1365500000001703
1983,85087;1987,43668;[de BAIxa procura e ao mesmo tempo que se necessita dessa ela;de baixa procura e ao mesmo tempo que se necessita dessa ela;3,5858100000000377
1988,50763;1989,72052;[é difícil?;é difícil;1,2128900000000158
2121,32562;2123,9805;[qual seria a tradução direta desse headhunter?;qual seria a tradução direta desse headhunter;2,6548800000000483
2401,75296;2404,34777;o seu marido sempre exerceu essa profissão que ele tem agora?;o seu marido sempre exerceu essa profissão que ele tem agora;2,5948100000000522
2612,92338;2614,16304;[o que a senhora gostaria de fazer?;o que a senhora gostaria de fazer;1,2396599999997306
2651,92347;2653,48347;na sua casa já há alguma tendência?;na sua casa já há alguma tendência;1,5599999999999454
2654,99101;2655,52885;[com relá/;com relá;0,5378399999999601
2656,66579;2656,85969;é;é;0,1938999999997577
2657,13207;2658,48935;(em relação à profissão);em relação à profissão;1,3572799999997187
2765,51924;2767,34105;a senhora lembra [quais são essas outras?;a senhora lembra quais são essas outras;1,821809999999914
3044,82861;3047,4634;não:: [pode falar à vonta::de nós não temos horário;não pode falar à vontade nós não temos horário;2,6347900000000664
3358,46662;3360,25307;[e quando vocês quiseram;e quando vocês quiseram;1,786450000000059
3360,93977;3362,31317;escolher uma carreira;escolher uma carreira;1,3733999999999469
3363,34079;3365,65832;o que as levou escolher a carreira?;o que as levou escolher a carreira;2,317529999999806
3400,43085;3401,37567;[diplomacia;diplomacia;0,9448199999997087
3651,49549;3652,83666;[a senhora está com horário?;a senhora está com horário;1,3411700000001474
3661,41244;3661,78745;hum::;uh;0,3750099999997474
3662,50824;3663,60938;dez minutos;dez minutos;1,1011399999997593
3681,1399;3681,90452;[(porque)::;porque;0,7646199999999226
3682,82059;3684,4716;( ) entre vocês duas não é?;entre vocês duas não é;1,651010000000042
3689,38566;3690,97335;[eu posso buscá-las para a senhora;eu posso buscálas para a senhora;1,5876900000002934
3691,6357;3691,96201;sim;sim;0,326310000000376
3693,93376;3694,2698;é;é;0,3360400000001391
3700,99443;3701,72706;a senhora acha que;a senhora acha que;0,7326299999999719
3702,19947;3703,36832;vai criar [problema?;vai criar problema;1,1688500000000204
3704,55829;3705,6687;aqui não não tem;aqui não não tem;1,110410000000229
3747,94253;3748,97989;é não não;é não não;1,0373600000002625
3749,09678;3750,26981;a senhora poderia usar;a senhora poderia usar;1,173029999999926
3751,5312;3752,76383;o telefone não é público;o telefone não é público;1,232629999999972
3753,38235;3756,26506;não é:: da secretaria lá da da portaria da::;não é da secretaria lá da da portaria da;2,8827100000003156
0,08305;2,62697;(uma) de no::ve... e a outra de seis;uma de nove e a outra de seis;2,54392
12,3464;18,02388;a p/ a p/... é... a programaÇÃO... havia sido planejada... mas não deu certo;a p a p é a programação havia sido planejada mas não deu certo;5,677479999999999
21,8952;22,22326;não;não;0,3280600000000007
24,33224;29,40114;não justamente porque a tabela não::... não deu certo é que:: vieram ao acaso;não justamente porque a tabela não não deu certo é que vieram ao acaso;5,068900000000003
30,0371;35,24529;e::... nós havíamos programado [NOve ou dez filhos... [não é?;e nós havíamos programado nove ou dez filhos não é;5,208189999999998
35,60679;36,45344;então;então;0,8466500000000039
38,32;43,23793;nós somos:: seis filhos [e meu marido... eram doze agora são onze;nós somos seis filhos e meu marido eram doze agora são onze;4,917929999999998
43,87467;52,60597;[quer dizer somos de famílias GRANdes e::... então esta/... acho que... dado esse fator nos acostumamos a:: MUIta gente;quer dizer somos de famílias grandes e então esta acho que dado esse fator nos acostumamos a muita gente;8,731299999999997
53,04495;53,51326;e::;e;0,46831000000000245
55,45793;57,10133;[exatamente nove ou dez;exatamente nove ou dez;1,6433999999999997
57,24922;57,42215;é;é;0,17293000000000092
57,71382;66,87939;e:: MAS::... depois diante das dificulDAdes de conseguir... QUEM me ajudasse... nó::s paramos no sexto filho... não é?;e mas depois diante das dificuldades de conseguir quem me ajudasse nós paramos no sexto filho não é;9,165570000000002
67,57815;69,42675;e::... estamos muito contentes e;e estamos muito contentes e;1,8486000000000047
74,36773;90,3358;[não por enquanto não porque:: eles estão entrando na/ as:: [mais velhas estão entrando agora na adolescência... e:: mas são muito acomodadas ainda não começaram assim... aquela fase... chamada de mais [difícil de crítica né?... ainda não;não por enquanto não porque eles estão entrando na as mais velhas estão entrando agora na adolescência e mas são muito acomodadas ainda não começaram assim aquela fase chamada de mais difícil de crítica né ainda não;15,968070000000012
91,11221;92,66035;felizmente (ainda não) [começaram;felizmente ainda não começaram;1,5481399999999894
92,66035;110,23407;e agora... eu acho que::... eu... espero não:: ter problemas com elas porque... nós mantemos assim um diálogo bem aberto sabe?... [com as crianças... então::... esperamos que não:: haja maiores [problemas::... com o avançar dos anos;e agora eu acho que eu espero não ter problemas com elas porque nós mantemos assim um diálogo bem aberto sabe com as crianças então esperamos que não haja maiores problemas com o avançar dos anos;17,57372000000001
110,76831;111,12;enfim;enfim;0,35169000000000494
112,29062;116,34915;[o futuro pertence... a Deus e não... [a nós;o futuro pertence a deus e não a nós;4,05852999999999
142,68567;143,46365;[(pararam);pararam;0,7779800000000137
176,35716;177,45896;precisa [convencê-lo não é?;precisa convencêlo não é;1,1017999999999972
194,29825;194,56527;[(é);é;0,26702000000000226
234,6904;235,06884;[(sei);sei;0,37843999999998346
238,49986;239,21286;ele é menor?;ele é menor;0,7129999999999939
284,54604;284,79266;é;é;0,24662000000000717
284,79266;287,04511;[se impôs essa atitude sua;se impôs essa atitude sua;2,2524500000000103
296,52;297,0;[é;é;0,4800000000000182
299,18;316,81394;na minha casa também porque sa::em... ahn:: CINco... comigo de manhã [às sete horas::... para irem para a escola... três es/ vão para o colégio... e dois vão para uma:: um cursinho... de matemática... e o menor;na minha casa também porque saem ah cinco comigo de manhã às sete horas para irem para a escola três es vão para o colégio e dois vão para uma um cursinho de matemática e o menor;17,633939999999996
316,81394;320,37169;então esses cinco saem... e vão... para Pinheiros::;então esses cinco saem e vão para pinheiros;3,5577499999999986
321,06068;341,5572;quando não é éh não:: é dia do meu marido ir para a faculDAde... eu fico por Pinheiros e volto para casa agora em dois dias da semana... eu levo faculdade também... não é?... e:: depois volto para casa mas chego já apronto o outro para ir para a esCOla... o menorzinho... e fico na::quelas lides [domésticas e::uma coisa e outra;quando não é eh não é dia do meu marido ir para a faculdade eu fico por pinheiros e volto para casa agora em dois dias da semana eu levo faculdade também não é e depois volto para casa mas chego já apronto o outro para ir para a escola o menorzinho e fico naquelas lides domésticas euma coisa e outra;20,496520000000032
342,61015;352,91624;e::... agora à tarde vão dois para a escola mas::... tem ativi/ os que ficam em casa têm atividades EXtras... [então é um corre-corre realmente... não é?;e agora à tarde vão dois para a escola mas tem ativi os que ficam em casa têm atividades extras então é um correcorre realmente não é;10,30609000000004
353,58511;364,47597;agora eu assumi tamBÉM... uma::... secretaria de á pê eme... lá do [colégio das crianças [então eu tenho muito muita tarefa também... fora [de casa não é?;agora eu assumi também uma secretaria de á pê eme lá do colégio das crianças então eu tenho muito muita tarefa também fora de casa não é;10,890860000000032
364,47597;376,18196;manter contato com entidades aqui do bairro... com::... os pais de alunos e tudo mais quer dizer que dá trabalho então é um corre-corre... durante a semana toda... né?;manter contato com entidades aqui do bairro com os pais de alunos e tudo mais quer dizer que dá trabalho então é um correcorre durante a semana toda né;11,705989999999986
381,35349;381,99059;[certo;certo;0,6370999999999754
385,02321;386,37559;[isso já se CUIdam;isso já se cuidam;1,3523799999999824
390,10267;391,51061;[ah ajuda demais não é?;ah ajuda demais não é;1,4079399999999964
392,0431;396,9732;agora tem [sempre... numa família grande há sempre um com tarefa de supervisor;agora tem sempre numa família grande há sempre um com tarefa de supervisor;4,930100000000039
