path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_DID_137_133.52276_136.74.wav;133,52276;136,74;o que se apresenta diferente entre Belo Horizonte e São Paulo (principalmente)?;o que se apresenta diferente entre belo horizonte e são paulo principalmente;3,217240000000004;o que se presento diferente entrebe adupesodo sono palota;okisɛprzɛnsɛrɛlɛntebjəbɪzossvobalkdə;[{'text': 'o', 'timestamp': (0.14, 0.16)}, {'text': 'que', 'timestamp': (0.2, 0.26)}, {'text': 'se', 'timestamp': (0.34, 0.38)}, {'text': 'presento', 'timestamp': (0.46, 0.74)}, {'text': 'diferente', 'timestamp': (0.8, 1.16)}, {'text': 'entrebe', 'timestamp': (1.24, 1.48)}, {'text': 'adupesodo', 'timestamp': (1.54, 2.0)}, {'text': 'sono', 'timestamp': (2.1, 2.26)}, {'text': 'palota', 'timestamp': (2.3, 2.72)}];0,6666666666666666;0,6666666666666666;0,8518518518518519;0,40789473684210525
./audios/SP_DID_137_169.85847_170.52.wav;169,85847;170,52;eu já;eu já;0,6615299999999991;;d;[];1,0;1,0;1,0;1,0
./audios/SP_DID_137_174.27532_174.6708.wav;174,27532;174,6708;[eu gosto;eu gosto;0,3954800000000205;agar;lo;[{'text': 'agar', 'timestamp': (1.0, 1.34)}];1,0;1,0;1,0;0,875
./audios/SP_DID_137_175.09693_175.90014.wav;175,09693;175,90014;(muito) [bonita né?;muito bonita né;0,8032100000000071;alonia verna;dinfeːda;[{'text': 'alonia', 'timestamp': (1.04, 1.38)}, {'text': 'verna', 'timestamp': (1.46, 1.74)}];1,0;1,0;1,0;0,8
./audios/SP_DID_137_347.38_356.19247.wav;347,38;356,19247;e escuta se o senhor... quisesse no caso mostrar a cidade de São Paulo... para uma pessoa que:: não:: nunca veio aqui:: gostaria de conhecer onde o senhor levaria?;e escuta se o senhor quisesse no caso mostrar a cidade de são paulo para uma pessoa que não nunca veio aqui gostaria de conhecer onde o senhor levaria;8,812470000000019;ele cotasimolosho quezeati no caso noscdacidade são pal uma vessoa tueumunda meio qui gosto diferentese odosoliedade;tisbatəsmoloʃoeetnokrasmostdasdakopamovjsnosioutameofiigosaekeesonsorera;[{'text': 'ele', 'timestamp': (0.14, 0.24)}, {'text': 'cotasimolosho', 'timestamp': (0.38, 1.18)}, {'text': 'quezeati', 'timestamp': (1.58, 2.14)}, {'text': 'no', 'timestamp': (2.2, 2.26)}, {'text': 'caso', 'timestamp': (2.34, 2.54)}, {'text': 'noscdacidade', 'timestamp': (2.64, 3.36)}, {'text': 'são', 'timestamp': (3.5, 3.58)}, {'text': 'pal', 'timestamp': (3.72, 3.86)}, {'text': 'uma', 'timestamp': (4.46, 4.56)}, {'text': 'vessoa', 'timestamp': (4.6, 4.88)}, {'text': 'tueumunda', 'timestamp': (4.94, 6.02)}, {'text': 'meio', 'timestamp': (6.14, 6.32)}, {'text': 'qui', 'timestamp': (6.46, 6.56)}, {'text': 'gosto', 'timestamp': (6.84, 7.04)}, {'text': 'diferentese', 'timestamp': (7.22, 7.68)}, {'text': 'odosoliedade', 'timestamp': (7.8, 8.32)}];0,8620689655172413;0,8620689655172413;0,9655172413793104;0,4666666666666667
./audios/SP_DID_137_418.36543_422.39374.wav;418,36543;422,39374;[você conhece assim algum museu no exterior que tenha lhe chamado a atenção?;você conhece assim algum museu no exterior que tenha lhe chamado a atenção;4,028309999999976;omaroqema comoteo teotetnafent;umasiakomsekosteloteslastnʃa;[{'text': 'omaroqema', 'timestamp': (0.26, 1.0)}, {'text': 'comoteo', 'timestamp': (1.08, 1.68)}, {'text': 'teotetnafent', 'timestamp': (2.14, 3.78)}];1,0;1,0;1,0;0,7567567567567568
./audios/SP_DID_137_423.32799_425.30688.wav;423,32799;425,30688;ah dá para descrever (aqui) para a gente?;ah dá para descrever aqui para a gente;1,9788899999999785;madatogeteagen;madatuetese;[{'text': 'madatogeteagen', 'timestamp': (0.14, 1.64)}];1,0;1,0;1,0;0,7894736842105263
./audios/SP_DID_137_481.12587_484.37872.wav;481,12587;484,37872;e qual a diferença básica (que haveria) entre esses três museus?;e qual a diferença básica que haveria entre esses três museus;3,2528499999999667;como qiveremtubar qeeipret;onotitenntbaːrpaleis;[{'text': 'como', 'timestamp': (0.04, 0.16)}, {'text': 'qiveremtubar', 'timestamp': (0.26, 1.0)}, {'text': 'qeeipret', 'timestamp': (1.2, 2.74)}];1,0;1,0;1,0;0,7704918032786885
./audios/SP_DID_137_566.84732_570.07384.wav;566,84732;570,07384;no caso esses museus estariam situados ONde dentro da cidade?;no caso esses museus estariam situados onde dentro da cidade;3,2265200000000505;no gar dessa ixclusivestá a stituados onaros deentacidado;lukaleselunzijonestanesetwatzonosddɛsta;[{'text': 'no', 'timestamp': (0.2, 0.26)}, {'text': 'gar', 'timestamp': (0.32, 0.44)}, {'text': 'dessa', 'timestamp': (0.5, 0.64)}, {'text': 'ixclusivestá', 'timestamp': (0.7, 1.28)}, {'text': 'a', 'timestamp': (1.42, 1.44)}, {'text': 'stituados', 'timestamp': (1.5, 1.94)}, {'text': 'onaros', 'timestamp': (2.04, 2.3)}, {'text': 'deentacidado', 'timestamp': (2.34, 3.06)}];0,9;0,9;0,9875;0,4666666666666667
./audios/SP_DID_137_660.89331_663.08.wav;660,89331;663,08;o senhor disse que:: foi na época de frio né?;o senhor disse que foi na época de frio né;2,1866899999999987;pois eu disso que foi na época de fril né;poznɪskiːfwɛnaapkasfliːumaː;[{'text': 'pois', 'timestamp': (0.08, 0.16)}, {'text': 'eu', 'timestamp': (0.22, 0.26)}, {'text': 'disso', 'timestamp': (0.28, 0.42)}, {'text': 'que', 'timestamp': (0.5, 0.56)}, {'text': 'foi', 'timestamp': (0.76, 0.86)}, {'text': 'na', 'timestamp': (0.92, 0.96)}, {'text': 'época', 'timestamp': (1.06, 1.28)}, {'text': 'de', 'timestamp': (1.36, 1.42)}, {'text': 'fril', 'timestamp': (1.58, 1.8)}, {'text': 'né', 'timestamp': (1.9, 1.98)}];0,4;0,4;0,64;0,21428571428571427
./audios/SP_DID_137_663.90639_669.8809.wav;663,90639;669,8809;era é::poca de temporada de:: de::... de tea::tro... [o senhor chegou a ir?;era época de temporada de de de teatro o senhor chegou a ir;5,974510000000009;é a época de temporado cado té sdo;ɛankədəteporaːtssetkɛsogo;[{'text': 'é', 'timestamp': (0.12, 0.14)}, {'text': 'a', 'timestamp': (0.24, 0.26)}, {'text': 'época', 'timestamp': (0.36, 0.62)}, {'text': 'de', 'timestamp': (0.68, 0.74)}, {'text': 'temporado', 'timestamp': (0.82, 1.32)}, {'text': 'cado', 'timestamp': (3.66, 4.24)}, {'text': 'té', 'timestamp': (4.36, 4.44)}, {'text': 'sdo', 'timestamp': (4.96, 5.46)}];0,9230769230769231;0,8571428571428571;0,9615384615384616;0,559322033898305
./audios/SP_DID_137_801.88463_806.30922.wav;801,88463;806,30922;( ) e desses... seus passeios quais os lugares que o senhor costumava ir?;e desses seus passeios quais os lugares que o senhor costumava ir;4,4245899999999665;e deqe seus pasteis pasas desos notem;ɪdɪɪdɪspaːdɛzbaːslaːssmaːɪ;[{'text': 'e', 'timestamp': (0.18, 0.2)}, {'text': 'deqe', 'timestamp': (0.26, 0.56)}, {'text': 'seus', 'timestamp': (1.18, 1.34)}, {'text': 'pasteis', 'timestamp': (1.42, 2.0)}, {'text': 'pasas', 'timestamp': (2.08, 2.36)}, {'text': 'desos', 'timestamp': (2.52, 3.06)}, {'text': 'notem', 'timestamp': (3.92, 4.3)}];0,8333333333333334;0,8333333333333334;0,9523809523809523;0,5384615384615384
./audios/SP_DID_137_807.28177_808.58052.wav;807,28177;808,58052;que tipos de lugares?;que tipos de lugares;1,2987499999999272;que  possibicar;jɛnposuka;[{'text': 'que', 'timestamp': (0.16, 0.24)}, {'text': 'possibicar', 'timestamp': (0.42, 0.98)}];0,75;0,75;0,875;0,55
./audios/SP_DID_137_809.7443_810.20143.wav;809,7443;810,20143;é;é;0,4571300000000065;;;[];1,0;1,0;1,0;1,0
