path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_DID_251_0.11046_23.56936.wav;0,11046;23,56936;Marlene... gostaria que você dissesse para gente... tudo o que você souber... a respeito de profissões:: de ofícios... quais as profissões que você acha que são mais valorizadas atualmente... qual profissão que você aconselharia para alguém que por acaso viesse... éh pedir um conselho para você... que profissão deveria seguir... éh:: que profissão você aconselharia no caso tudo o que você tiver para dizer para gente a respeito de profissões;marlene gostaria que você dissesse para gente tudo o que você souber a respeito de profissões de ofícios quais as profissões que você acha que são mais valorizadas atualmente qual profissão que você aconselharia para alguém que por acaso viesse eh pedir um conselho para você que profissão deveria seguir eh que profissão você aconselharia no caso tudo o que você tiver para dizer para gente a respeito de profissões;23,4589;mas me gostaria que você dissesse para gente tudo o que você souber a respeito de profissões de ofícios quais as profissões que você acha que são mais valorizadas atualmente qual profissão que você aconselharia para alguém que por acaso viesse e pedir um conselho pra você que profissão deveria seguir a que profissão que você aconselharia no caso tudo o que você tiver pra dizer pra gente expedir profissões;;[{'text': 'mas', 'timestamp': (0.06, 0.16)}, {'text': 'me', 'timestamp': (0.38, 0.42)}, {'text': 'gostaria', 'timestamp': (1.14, 1.38)}, {'text': 'que', 'timestamp': (1.42, 1.48)}, {'text': 'você', 'timestamp': (1.52, 1.6)}, {'text': 'dissesse', 'timestamp': (1.64, 1.92)}, {'text': 'para', 'timestamp': (1.98, 2.14)}, {'text': 'gente', 'timestamp': (2.2, 2.46)}, {'text': 'tudo', 'timestamp': (2.78, 2.88)}, {'text': 'o', 'timestamp': (2.9, 2.92)}, {'text': 'que', 'timestamp': (2.96, 3.04)}, {'text': 'você', 'timestamp': (3.08, 3.22)}, {'text': 'souber', 'timestamp': (3.32, 3.62)}, {'text': 'a', 'timestamp': (4.06, 4.08)}, {'text': 'respeito', 'timestamp': (4.14, 4.48)}, {'text': 'de', 'timestamp': (4.58, 4.62)}, {'text': 'profissões', 'timestamp': (4.72, 5.3)}, {'text': 'de', 'timestamp': (5.66, 5.72)}, {'text': 'ofícios', 'timestamp': (5.8, 6.3)}, {'text': 'quais', 'timestamp': (6.84, 6.98)}, {'text': 'as', 'timestamp': (7.04, 7.08)}, {'text': 'profissões', 'timestamp': (7.14, 7.54)}, {'text': 'que', 'timestamp': (7.64, 7.74)}, {'text': 'você', 'timestamp': (7.78, 7.94)}, {'text': 'acha', 'timestamp': (8.02, 8.14)}, {'text': 'que', 'timestamp': (8.18, 8.26)}, {'text': 'são', 'timestamp': (8.32, 8.4)}, {'text': 'mais', 'timestamp': (8.44, 8.58)}, {'text': 'valorizadas', 'timestamp': (8.66, 9.28)}, {'text': 'atualmente', 'timestamp': (9.36, 9.92)}, {'text': 'qual', 'timestamp': (10.9, 11.0)}, {'text': 'profissão', 'timestamp': (11.06, 11.38)}, {'text': 'que', 'timestamp': (11.46, 11.52)}, {'text': 'você', 'timestamp': (11.6, 11.74)}, {'text': 'aconselharia', 'timestamp': (11.84, 12.42)}, {'text': 'para', 'timestamp': (12.48, 12.58)}, {'text': 'alguém', 'timestamp': (12.6, 12.88)}, {'text': 'que', 'timestamp': (12.94, 13.0)}, {'text': 'por', 'timestamp': (13.08, 13.16)}, {'text': 'acaso', 'timestamp': (13.22, 13.48)}, {'text': 'viesse', 'timestamp': (13.6, 13.98)}, {'text': 'e', 'timestamp': (14.66, 14.68)}, {'text': 'pedir', 'timestamp': (14.88, 15.04)}, {'text': 'um', 'timestamp': (15.1, 15.14)}, {'text': 'conselho', 'timestamp': (15.2, 15.68)}, {'text': 'pra', 'timestamp': (15.76, 15.84)}, {'text': 'você', 'timestamp': (15.9, 16.16)}, {'text': 'que', 'timestamp': (16.52, 16.6)}, {'text': 'profissão', 'timestamp': (16.66, 16.96)}, {'text': 'deveria', 'timestamp': (17.04, 17.32)}, {'text': 'seguir', 'timestamp': (17.44, 17.74)}, {'text': 'a', 'timestamp': (18.56, 18.58)}, {'text': 'que', 'timestamp': (18.84, 18.92)}, {'text': 'profissão', 'timestamp': (18.98, 19.24)}, {'text': 'que', 'timestamp': (19.3, 19.36)}, {'text': 'você', 'timestamp': (19.42, 19.62)}, {'text': 'aconselharia', 'timestamp': (19.72, 20.34)}, {'text': 'no', 'timestamp': (20.4, 20.46)}, {'text': 'caso', 'timestamp': (20.56, 20.84)}, {'text': 'tudo', 'timestamp': (20.92, 21.06)}, {'text': 'o', 'timestamp': (21.08, 21.1)}, {'text': 'que', 'timestamp': (21.12, 21.18)}, {'text': 'você', 'timestamp': (21.24, 21.42)}, {'text': 'tiver', 'timestamp': (21.54, 21.74)}, {'text': 'pra', 'timestamp': (21.78, 21.9)}, {'text': 'dizer', 'timestamp': (21.94, 22.08)}, {'text': 'pra', 'timestamp': (22.14, 22.24)}, {'text': 'gente', 'timestamp': (22.28, 22.4)}, {'text': 'expedir', 'timestamp': (22.48, 22.74)}, {'text': 'profissões', 'timestamp': (22.8, 23.32)}];0,15714285714285714;0,1527777777777778;0,24061224489795918;0,057692307692307696
./audios/SP_DID_251_270.14092_275.61098.wav;270,14092;275,61098;e pruma pessoa que não tem grau de escolaridade quais as chances de trabalho que ela a/... que ela pode achar?;e pruma pessoa que não tem grau de escolaridade quais as chances de trabalho que ela a que ela pode achar;5,4700599999999895;e pra uma pessoa que não tem grau de escolaridade quais as chances de trabalho que ela pode achar;;[{'text': 'e', 'timestamp': (0.06, 0.08)}, {'text': 'pra', 'timestamp': (0.12, 0.24)}, {'text': 'uma', 'timestamp': (0.26, 0.36)}, {'text': 'pessoa', 'timestamp': (0.42, 0.72)}, {'text': 'que', 'timestamp': (0.78, 0.86)}, {'text': 'não', 'timestamp': (0.92, 1.0)}, {'text': 'tem', 'timestamp': (1.1, 1.22)}, {'text': 'grau', 'timestamp': (1.34, 1.5)}, {'text': 'de', 'timestamp': (1.58, 1.62)}, {'text': 'escolaridade', 'timestamp': (1.64, 2.4)}, {'text': 'quais', 'timestamp': (2.58, 2.76)}, {'text': 'as', 'timestamp': (2.86, 2.92)}, {'text': 'chances', 'timestamp': (3.02, 3.26)}, {'text': 'de', 'timestamp': (3.3, 3.34)}, {'text': 'trabalho', 'timestamp': (3.42, 3.76)}, {'text': 'que', 'timestamp': (3.82, 4.5)}, {'text': 'ela', 'timestamp': (4.56, 4.62)}, {'text': 'pode', 'timestamp': (4.72, 4.9)}, {'text': 'achar', 'timestamp': (5.12, 5.4)}];0,23809523809523808;0,22727272727272727;0,2756892230576441;0,11428571428571428
./audios/SP_DID_251_405.77175_406.96109.wav;405,77175;406,96109;como é que você classificaria?;como é que você classificaria;1,1893400000000156;como é que você classificaria;;[{'text': 'como', 'timestamp': (0.02, 0.12)}, {'text': 'é', 'timestamp': (0.14, 0.16)}, {'text': 'que', 'timestamp': (0.2, 0.26)}, {'text': 'você', 'timestamp': (0.3, 0.44)}, {'text': 'classificaria', 'timestamp': (0.52, 1.12)}];0,0;0,0;0,0;0,0
./audios/SP_DID_251_406.96109_409.74383.wav;406,96109;409,74383;quem seriam essas pessoas::... sem escolaridade?;quem seriam essas pessoas sem escolaridade;2,7827399999999898;quem seriam essas pessoas sem escolaridade;;[{'text': 'quem', 'timestamp': (0.04, 0.16)}, {'text': 'seriam', 'timestamp': (0.24, 0.4)}, {'text': 'essas', 'timestamp': (0.46, 0.62)}, {'text': 'pessoas', 'timestamp': (0.7, 1.16)}, {'text': 'sem', 'timestamp': (1.76, 1.88)}, {'text': 'escolaridade', 'timestamp': (1.98, 2.66)}];0,0;0,0;0,0;0,0
./audios/SP_DID_251_409.74383_410.7407.wav;409,74383;410,7407;como é que você chamaria?;como é que você chamaria;0,9968700000000013;como é que você chamaria;;[{'text': 'como', 'timestamp': (1.02, 1.1)}, {'text': 'é', 'timestamp': (1.14, 1.16)}, {'text': 'que', 'timestamp': (1.18, 1.24)}, {'text': 'você', 'timestamp': (1.28, 1.42)}, {'text': 'chamaria', 'timestamp': (1.52, 1.86)}];0,0;0,0;0,0;0,0
./audios/SP_DID_251_423.4336_424.24695.wav;423,4336;424,24695;que profissões?;que profissões;0,813350000000014;que profissões;;[{'text': 'que', 'timestamp': (1.02, 1.08)}, {'text': 'profissões', 'timestamp': (1.14, 1.68)}];0,0;0,0;0,0;0,0
./audios/SP_DID_251_424.24695_425.45138.wav;424,24695;425,45138;que profissões elas exercem?;que profissões elas exercem;1,2044299999999453;que profissões elas exercem;;[{'text': 'que', 'timestamp': (0.04, 0.12)}, {'text': 'profissões', 'timestamp': (0.14, 0.52)}, {'text': 'elas', 'timestamp': (0.58, 0.74)}, {'text': 'exercem', 'timestamp': (0.82, 1.16)}];0,0;0,0;0,0;0,0
./audios/SP_DID_251_425.45138_426.81751.wav;425,45138;426,81751;desculpe a pergunta foi feita mal feita;desculpe a pergunta foi feita mal feita;1,3661300000000551;desculpe a pergunta foi me feito;;[{'text': 'desculpe', 'timestamp': (0.06, 0.36)}, {'text': 'a', 'timestamp': (0.42, 0.44)}, {'text': 'pergunta', 'timestamp': (0.52, 0.74)}, {'text': 'foi', 'timestamp': (0.82, 0.88)}, {'text': 'me', 'timestamp': (0.96, 1.0)}, {'text': 'feito', 'timestamp': (1.14, 1.32)}];0,42857142857142855;0,42857142857142855;0,6190476190476191;0,23076923076923078
./audios/SP_DID_251_427.03379_428.7465.wav;427,03379;428,7465;que profissões exercem essas pessoas?;que profissões exercem essas pessoas;1,7127100000000155;que profissões exercem essas pessoas;;[{'text': 'que', 'timestamp': (0.06, 0.12)}, {'text': 'profissões', 'timestamp': (0.16, 0.52)}, {'text': 'exercem', 'timestamp': (0.62, 0.92)}, {'text': 'essas', 'timestamp': (0.98, 1.12)}, {'text': 'pessoas', 'timestamp': (1.2, 1.58)}];0,0;0,0;0,0;0,0
./audios/SP_DID_251_551.68536_558.05697.wav;551,68536;558,05697;e uma pessoa que não tem escolaridade que se especializa em alguma ramo... quais seriam essas:: especialidades?;e uma pessoa que não tem escolaridade que se especializa em alguma ramo quais seriam essas especialidades;6,371610000000032;uma pessoa que não tem escolaridade que se especializa em algum ramo quais tem essas especialidades;;[{'text': 'uma', 'timestamp': (0.16, 0.26)}, {'text': 'pessoa', 'timestamp': (0.34, 0.56)}, {'text': 'que', 'timestamp': (0.64, 0.72)}, {'text': 'não', 'timestamp': (0.78, 0.88)}, {'text': 'tem', 'timestamp': (0.98, 1.1)}, {'text': 'escolaridade', 'timestamp': (1.2, 2.0)}, {'text': 'que', 'timestamp': (2.14, 2.2)}, {'text': 'se', 'timestamp': (2.28, 2.32)}, {'text': 'especializa', 'timestamp': (2.38, 3.0)}, {'text': 'em', 'timestamp': (3.08, 3.14)}, {'text': 'algum', 'timestamp': (3.2, 3.4)}, {'text': 'ramo', 'timestamp': (3.56, 3.86)}, {'text': 'quais', 'timestamp': (4.38, 4.58)}, {'text': 'tem', 'timestamp': (4.62, 4.8)}, {'text': 'essas', 'timestamp': (4.86, 5.06)}, {'text': 'especialidades', 'timestamp': (5.28, 6.22)}];0,17647058823529413;0,17647058823529413;0,27941176470588236;0,06666666666666667
