path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_D2_343_0.00482_3.89612.wav;0,00482;3,89612;gostaríamos que (vocês) falassem a respeito da da cida::de e do comércio;gostaríamos que vocês falassem a respeito da da cidade e do comércio;3,8912999999999998;gostaríamos que vez falasse a respeito da cidade e do comércio;;[{'text': 'gostaríamos', 'timestamp': (0.08, 0.64)}, {'text': 'que', 'timestamp': (0.72, 0.78)}, {'text': 'vez', 'timestamp': (0.84, 0.98)}, {'text': 'falasse', 'timestamp': (1.08, 1.52)}, {'text': 'a', 'timestamp': (1.54, 1.58)}, {'text': 'respeito', 'timestamp': (1.6, 1.98)}, {'text': 'da', 'timestamp': (2.28, 2.34)}, {'text': 'cidade', 'timestamp': (2.48, 2.96)}, {'text': 'e', 'timestamp': (3.06, 3.08)}, {'text': 'do', 'timestamp': (3.12, 3.18)}, {'text': 'comércio', 'timestamp': (3.24, 3.8)}];0,25;0,25;0,38636363636363635;0,11764705882352941
./audios/SP_D2_343_25.19421_25.91568.wav;25,19421;25,91568;[está está;está está;0,7214699999999965;nada;;[{'text': 'nada', 'timestamp': (1.02, 1.46)}];1,0;1,0;1,0;1,0
./audios/SP_D2_343_26.25351_27.92529.wav;26,25351;27,92529;[eu já eu já deixo no [automá::tico;eu já eu já deixo no automático;1,6717800000000018;eu já já deixo no automático;;[{'text': 'eu', 'timestamp': (0.0, 0.16)}, {'text': 'já', 'timestamp': (0.26, 0.3)}, {'text': 'já', 'timestamp': (0.48, 0.52)}, {'text': 'deixo', 'timestamp': (0.62, 0.78)}, {'text': 'no', 'timestamp': (0.84, 0.9)}, {'text': 'automático', 'timestamp': (0.96, 1.58)}];0,14285714285714285;0,14285714285714285;0,1428571428571429;0,0967741935483871
./audios/SP_D2_343_29.44861_29.74003.wav;29,44861;29,74003;[não;não;0,29142000000000223;ele;;[{'text': 'ele', 'timestamp': (1.0, 1.24)}];1,0;1,0;1,0;1,0
./audios/SP_D2_343_554.48222_556.25503.wav;554,48222;556,25503;pena que se espere tanto né?;pena que se espere tanto né;1,7728100000000495;pena que você espere tanto né;;[{'text': 'pena', 'timestamp': (0.1, 0.28)}, {'text': 'que', 'timestamp': (0.36, 0.42)}, {'text': 'você', 'timestamp': (0.46, 0.54)}, {'text': 'espere', 'timestamp': (0.6, 0.88)}, {'text': 'tanto', 'timestamp': (1.02, 1.36)}, {'text': 'né', 'timestamp': (1.48, 1.52)}];0,16666666666666666;0,16666666666666666;0,30555555555555547;0,14814814814814814
./audios/SP_D2_343_556.94351_558.32706.wav;556,94351;558,32706;para tomar as medidas sérias;para tomar as medidas sérias;1,3835500000000138;tomar as vinte e desse;;[{'text': 'tomar', 'timestamp': (0.16, 0.32)}, {'text': 'as', 'timestamp': (0.38, 0.44)}, {'text': 'vinte', 'timestamp': (0.54, 0.68)}, {'text': 'e', 'timestamp': (0.7, 0.74)}, {'text': 'desse', 'timestamp': (0.8, 1.06)}];0,8;0,6666666666666666;0,84;0,6071428571428571
./audios/SP_D2_343_914.93409_916.44954.wav;914,93409;916,44954;((risos)) [sugestões;sugestões;1,515449999999987;o tipo de unidade;;[{'text': 'o', 'timestamp': (0.58, 0.6)}, {'text': 'tipo', 'timestamp': (0.72, 0.84)}, {'text': 'de', 'timestamp': (0.86, 0.9)}, {'text': 'unidade', 'timestamp': (1.0, 1.38)}];4,0;1,0;1,0;1,7777777777777777
./audios/SP_D2_343_916.67842_918.94386.wav;916,67842;918,94386;e:: a opinião de vocês a respeito do metrô?;e a opinião de vocês a respeito do metrô;2,2654400000000123;e a opinião de vocês a respeito do metrô;;[{'text': 'e', 'timestamp': (0.1, 0.12)}, {'text': 'a', 'timestamp': (0.34, 0.36)}, {'text': 'opinião', 'timestamp': (0.4, 0.7)}, {'text': 'de', 'timestamp': (0.78, 0.82)}, {'text': 'vocês', 'timestamp': (0.9, 1.22)}, {'text': 'a', 'timestamp': (1.28, 1.3)}, {'text': 'respeito', 'timestamp': (1.36, 1.68)}, {'text': 'do', 'timestamp': (1.74, 1.8)}, {'text': 'metrô', 'timestamp': (1.88, 2.12)}];0,0;0,0;0,0;0,0
./audios/SP_D2_343_925.50985_926.30163.wav;925,50985;926,30163;[ao contrário;ao contrário;0,791780000000017;vou comprar;;[{'text': 'vou', 'timestamp': (1.02, 1.12)}, {'text': 'comprar', 'timestamp': (1.22, 1.6)}];1,0;1,0;1,0;0,5833333333333334
./audios/SP_D2_343_948.43206_949.35216.wav;948,43206;949,35216;[ah:: vale a pena;ah vale a pena;0,9201000000000477;qual é o plano a pena;;[{'text': 'qual', 'timestamp': (0.98, 1.1)}, {'text': 'é', 'timestamp': (1.16, 1.18)}, {'text': 'o', 'timestamp': (1.2, 1.22)}, {'text': 'plano', 'timestamp': (1.28, 1.48)}, {'text': 'a', 'timestamp': (1.52, 1.54)}, {'text': 'pena', 'timestamp': (1.64, 1.86)}];1,0;0,6666666666666666;0,8333333333333334;0,7857142857142857
