start_sec;end_sec;mark;duration
0,0;119,04699;...;119,04699
119,04699;120,7256;[não ((risos));1,6786100000000062
120,7256;133,52276;...;12,797160000000005
136,74;169,85847;...;33,11847
170,52;174,27532;...;3,7553199999999833
174,27532;174,6708;[eu gosto;0,3954800000000205
174,6708;175,09693;...;0,42612999999997214
175,09693;175,90014;(muito) [bonita né?;0,8032100000000071
175,90014;316,33779;...;140,43765
316,33779;316,7338;((risos));0,39600999999998976
316,7338;323,8;...;7,066200000000038
323,8;324,34729;((risos));0,5472899999999754
324,34729;346,31466;...;21,967370000000017
346,31466;347,02811;((risos));0,713450000000023
347,02811;347,38;...;0,35188999999996895
356,19247;418,36543;...;62,17295999999999
418,36543;422,39374;[você conhece assim algum museu no exterior que tenha lhe chamado a atenção?;4,028309999999976
422,39374;423,32799;...;0,93425000000002
425,30688;481,12587;...;55,81899000000004
484,37872;538,0551;...;53,67638000000005
538,0551;539,46008;[((risos));1,4049799999999095
539,46008;566,84732;...;27,38724000000002
570,07384;660,89331;...;90,81947000000002
663,08;663,90639;...;0,8263899999999467
663,90639;669,8809;era é::poca de temporada de:: de::... de tea::tro... [o senhor chegou a ir?;5,974510000000009
669,8809;801,34637;...;131,46546999999998
801,34637;801,48824;((risos));0,1418700000000399
801,48824;801,88463;...;0,3963899999999967
801,88463;806,30922;( ) e desses... seus passeios quais os lugares que o senhor costumava ir?;4,4245899999999665
806,30922;807,28177;...;0,9725500000000693
808,58052;809,7443;...;1,1637799999999743
810,20143;941,0798;...;130,87837000000002
952,20372;1046,90129;...;94,69757000000004
1046,90129;1049,55853;[e o trânsito... nessas cidades?;2,6572400000000016
1049,55853;1088,37403;...;38,81549999999993
1088,37403;1088,95496;((risos));0,5809300000000803
1088,95496;1102,8452;...;13,890239999999949
1110,0122;1111,78576;...;1,7735600000000886
1111,78576;1112,80452;[((risos));1,0187599999999293
1112,80452;1113,12421;...;0,3196900000000369
1113,12421;1114,77381;e onde é que se [situava o correio?;1,649599999999964
1114,77381;1116,27484;...;1,501030000000128
1116,27484;1116,70962;[uhn;0,43478000000004613
1116,70962;1421,59779;...;304,88816999999995
1424,75985;1475,39135;...;50,63150000000019
1475,39135;1475,96322;[((risos));0,5718699999999899
1475,96322;1500,41824;...;24,455019999999877
1500,41824;1500,78873;((risos));0,37049000000001797
1500,78873;1526,96917;...;26,18044000000009
1533,04571;1535,17418;...;2,1284699999998793
1535,17418;1540,20936;porque [geralmente em:: cidade do interior ah::... o centro sempre igual né?;5,035180000000082
1540,20936;1651,12;...;110,91063999999983
1651,12;1651,58433;((risos));0,4643300000000181
1651,58433;1687,63576;...;36,05142999999998
1687,63576;1688,3011;[((risos));0,6653400000000147
1688,3011;1694,2921;...;5,9909999999999854
1704,95063;1753,64887;...;48,69823999999994
1753,64887;1811,84028;...;58,191409999999905
1811,84028;1819,05037;o senhor chegou a falar em... lojas shopping center e tal como é que é o comércio nessas cidades da Europa e no caso nas cidades dos [Estados Unidos também?;7,2100900000000365
1819,05037;1819,85323;...;0,8028600000000097
1819,85323;1822,51024;[((risos));2,6570100000001275
1822,51024;1921,72023;...;99,20998999999983
1921,72023;1927,31525;e eles fazem distinção no caso de lojas para determinada para vendas de determinados:: obje::tos et cetera [ou?;5,595020000000204
1927,31525;1951,65283;...;24,33757999999989
1953,54086;2031,40721;...;77,86635000000001
2038,35834;2085,21204;...;46,85369999999989
2090,11979;2111,09244;...;20,972649999999703
2111,09244;2117,9617;e acaso à noite quando o senhor queria sair com sua esposa por exemplo tomar uma cervejinha [( ) nessas cidades?;6,86925999999994
2117,9617;2118,19956;...;0,23786000000018248
2119,48;2173,41044;...;53,93044000000009
2173,41044;2174,75989;((risos));1,349449999999706
2174,75989;2182,73286;...;7,9729700000002595
2187,05688;2244,9311;...;57,874219999999696
2244,9311;2249,59795;e essa dos Estados Unidos é:: mais ou menos do mesmo estilo:: [( );4,666850000000068
2249,59795;2283,56;...;33,96205000000009
0,0;119,04699;...;119,04699
119,04699;119,31042;[não;0,2634299999999996
119,31042;120,7256;((risos));1,4151800000000065
120,7256;133,52276;...;12,797160000000005
136,74;169,85847;...;33,11847
170,52;174,27532;...;3,7553199999999833
174,27532;174,6708;[eu gosto;0,3954800000000205
174,6708;175,09693;...;0,42612999999997214
175,09693;175,72785;(muito) [bonita;0,6309200000000033
175,90014;316,33779;...;140,43765
316,33779;316,7338;((risos));0,39600999999998976
316,7338;323,8;...;7,066200000000038
323,8;324,34729;((risos));0,5472899999999754
324,34729;346,31466;...;21,967370000000017
346,31466;347,02811;((risos));0,713450000000023
347,02811;347,38;...;0,35188999999996895
348,80434;348,96786;...;0,1635199999999486
351,31538;351,56502;...;0,24963999999999942
356,19247;418,36543;...;62,17295999999999
418,36543;422,39374;[você conhece assim algum museu no exterior que tenha lhe chamado a atenção?;4,028309999999976
422,39374;423,32799;...;0,93425000000002
425,30688;481,12587;...;55,81899000000004
484,37872;538,0551;...;53,67638000000005
538,0551;539,46008;[((risos));1,4049799999999095
539,46008;566,84732;...;27,38724000000002
570,07384;660,89331;...;90,81947000000002
663,08;663,90639;...;0,8263899999999467
666,68763;667,23687;...;0,5492399999999407
668,27628;668,8007;...;0,5244199999999637
668,8007;669,8809;[o senhor chegou a ir?;1,0801999999999907
669,8809;801,34637;...;131,46546999999998
801,34637;801,48824;((risos));0,1418700000000399
801,48824;801,88463;...;0,3963899999999967
801,88463;802,57506;( ) e desses;0,6904299999999921
802,57506;802,9692;...;0,39413999999999305
806,30922;807,28177;...;0,9725500000000693
808,58052;809,7443;...;1,1637799999999743
810,20143;941,0798;...;130,87837000000002
943,59976;944,00725;...;0,40749000000005253
945,18004;945,68916;...;0,5091200000000526
946,99978;947,59079;...;0,5910099999999829
948,30349;948,60904;...;0,3055500000000393
952,20372;1046,90129;...;94,69757000000004
1046,90129;1047,95992;[e o trânsito;1,0586299999999937
1047,95992;1048,6433;...;0,6833799999999428
1049,55853;1088,37403;...;38,81549999999993
1088,37403;1088,95496;((risos));0,5809300000000803
1088,95496;1102,8452;...;13,890239999999949
1104,84724;1105,28202;...;0,43478000000004613
1110,0122;1111,78576;...;1,7735600000000886
1111,78576;1112,80452;[((risos));1,0187599999999293
1112,80452;1113,12421;...;0,3196900000000369
1113,12421;1114,77381;e onde é que se [situava o correio?;1,649599999999964
1114,77381;1116,27484;...;1,501030000000128
1116,27484;1116,70962;[uhn;0,43478000000004613
1116,70962;1421,59779;...;304,88816999999995
1424,75985;1475,39135;...;50,63150000000019
1475,39135;1475,96322;[((risos));0,5718699999999899
1475,96322;1500,41824;...;24,455019999999877
1500,41824;1500,78873;((risos));0,37049000000001797
1500,78873;1526,96917;...;26,18044000000009
1533,04571;1535,17418;...;2,1284699999998793
1535,17418;1538,22775;porque [geralmente em:: cidade do interior ah::;3,053570000000036
1538,22775;1538,78581;...;0,5580600000000686
1540,20936;1651,12;...;110,91063999999983
1651,12;1651,58433;((risos));0,4643300000000181
1651,58433;1687,63576;...;36,05142999999998
1687,63576;1688,3011;[((risos));0,6653400000000147
1688,3011;1694,2921;...;5,9909999999999854
1695,49722;1695,72162;...;0,22440000000005966
1698,68752;1699,13948;...;0,45196000000009917
1704,95063;1811,84028;...;106,88964999999985
1812,91901;1813,1916;...;0,2725900000000365
1816,56514;1819,05037;da Europa e no caso nas cidades dos [Estados Unidos também?;2,4852300000000014
1819,05037;1819,85323;...;0,8028600000000097
1819,85323;1822,51024;[((risos));2,6570100000001275
1822,51024;1921,72023;...;99,20998999999983
1925,88117;1927,31525;obje::tos et cetera [ou?;1,4340799999999945
1927,31525;1951,65283;...;24,33757999999989
1953,54086;2031,40721;...;77,86635000000001
2033,44233;2033,60877;...;0,16643999999996595
2034,13494;2034,31749;...;0,182549999999992
2036,99342;2037,35433;...;0,36090999999987616
2038,35834;2085,21204;...;46,85369999999989
2088,27867;2088,73462;...;0,45595000000002983
2090,11979;2111,09244;...;20,972649999999703
2114,34576;2116,80002;uma cervejinha [( );2,4542599999999766
2116,80002;2117,21387;...;0,41384999999991123
2117,9617;2118,19956;...;0,23786000000018248
2119,48;2173,41044;...;53,93044000000009
2173,41044;2174,75989;((risos));1,349449999999706
2174,75989;2182,73286;...;7,9729700000002595
2184,88476;2185,64795;...;0,7631900000001224
2187,05688;2244,9311;...;57,874219999999696
2244,9311;2249,59795;e essa dos Estados Unidos é:: mais ou menos do mesmo estilo:: [( );4,666850000000068
2249,59795;2283,56;...;33,96205000000009
0,0;0,02909;...;0,02909
6,90332;7,82654;...;0,9232199999999997
17,77966;18,68932;...;0,9096599999999988
39,9526;41,08052;...;1,1279200000000031
65,16404;66,72101;...;1,5569700000000068
71,28886;72,98147;...;1,692610000000002
92,46439;93,68373;...;1,2193400000000025
105,03915;105,19318;...;0,15402999999999167
109,13608;111,07023;...;1,9341499999999883
118,2456;119,10592;você é de Belo Horizonte ou [não?;0,8603200000000015
119,10592;120,7256;( );1,6196800000000025
121,07585;121,30023;...;0,22437999999999647
133,07975;137,10399;...;4,02424000000002
166,77469;167,56674;...;0,7920500000000175
169,25983;169,64;...;0,38016999999999257
169,85847;170,78035;...;0,9218799999999874
170,78035;174,37602;(então) você deu um risinho aí que pelo jisto... pelo visto você gosta muito de Belo [Horizonte;3,5956700000000126
174,37602;174,6708;...;0,29478000000000293
174,99576;175,5264;...;0,5306400000000053
175,5264;175,89773;[((risos));0,3713300000000004
175,89773;176,71532;...;0,8175899999999956
182,00083;182,83667;...;0,8358399999999904
199,88088;200,62226;...;0,7413800000000208
255,16268;256,40569;...;1,2430099999999982
266,93932;267,40765;...;0,4683299999999804
268,56658;269,30881;...;0,7422300000000064
283,87251;284,53593;...;0,6634200000000305
303,42813;304,02174;...;0,5936100000000124
310,30585;310,64341;...;0,3375599999999963
316,00453;316,7338;...;0,7292699999999854
323,60988;324,34729;...;0,7374100000000112
328,21058;328,44;...;0,22942000000000462
347,38;357,22465;...;9,844650000000001
362,75027;363,18182;...;0,43155000000001564
364,3614;364,6961;...;0,334699999999998
365,6379;365,83291;...;0,19501000000002477
366,71764;367,33958;...;0,621939999999995
395,80373;396,26869;...;0,46496000000001914
407,40455;407,78662;...;0,38207000000005564
417,13168;418,55958;...;1,4278999999999655
418,55958;418,96903;[mas;0,40944999999999254
418,96903;422,63772;...;3,6686900000000264
423,32799;425,63612;...;2,3081300000000056
431,78039;432,23326;...;0,4528699999999617
437,63935;438,36962;...;0,7302700000000186
441,44336;442,07679;...;0,6334300000000326
452,51002;453,00804;...;0,4980199999999968
461,06818;461,49236;...;0,4241800000000353
479,72265;485,64471;...;5,922059999999988
494,70896;495,83201;...;1,1230500000000347
509,47734;509,79379;...;0,3164499999999748
519,69953;519,97783;...;0,2783000000000584
519,97783;553,05765;Florença tem um museu célebre que é o Uffizi... e:::... e tem... TElas lindas::... tem::... ah:: peças de de:: escultura muito bonitas inclusive o:: David de Michelangelo está lá... e:: se eu não estou enganado... [((risos)) e::: e em Paris você vê a Vênus de Milo você vê a::... a::: Gioconda... então... eu não sei... eu gostei deMAIS do museu de Louvre;33,07981999999993
553,05765;554,83381;...;1,7761600000000044
565,66337;570,31368;...;4,65030999999999
578,5274;579,12072;...;0,5933200000000625
599,42902;600,27258;...;0,8435599999999113
602,70504;603,08435;...;0,37930999999991855
609,23222;609,80309;...;0,5708700000000135
633,02529;633,41007;...;0,3847799999999779
637,07537;637,93467;...;0,859299999999962
640,93055;641,05968;...;0,12912999999991825
646,05659;647,42647;...;1,3698799999999665
659,6141;663,12114;...;3,507039999999961
663,48384;668,27628;...;4,792440000000056
668,47234;668,8007;...;0,3283599999999751
668,8007;669,51555;[ópera;0,7148499999999558
669,51555;670,09528;...;0,5797300000000405
675,82514;683,60915;então eu fui... ( ) eu... eu já eu já havia tido uma experiência... muito boa quando eu fui para os Estados Unidos;7,784009999999967
701,23577;701,77771;...;0,5419399999999541
716,59618;718,08511;...;1,488929999999982
736,3419;736,53984;...;0,19794000000001688
745,83374;746,51911;...;0,6853699999999208
748,09273;748,75069;...;0,6579600000000028
761,2106;761,72816;...;0,5175600000000031
771,77927;772,65373;...;0,8744599999999991
773,77106;774,39303;...;0,6219699999999193
784,75456;785,97666;...;1,2221000000000686
801,16746;808,91674;...;7,749279999999999
809,47511;810,2928;...;0,8176900000000842
840,5529;841,21439;...;0,661489999999958
849,52;850,72834;...;1,208340000000021
851,31243;851,92357;...;0,6111400000000913
852,72984;852,89135;...;0,16151000000002114
862,56386;863,32114;...;0,757280000000037
872,8389;873,28197;...;0,44307000000003427
874,79802;875,66218;...;0,8641600000000835
902,22668;902,5327;...;0,3060199999999895
910,47686;910,66;...;0,18313999999998032
935,73099;936,17459;...;0,4435999999999467
939,85746;954,49746;...;14,6400000000001
989,31226;990,16386;...;0,8515999999999622
1015,94139;1016,56655;...;0,6251600000000508
1023,44394;1023,71781;...;0,27386999999998807
1027,97146;1029,35469;...;1,3832299999999123
1034,48751;1047,276;hoje em dia São Paulo tem:: vias expressas que já estão congestionadas mas que... éh::: deixam São Paulo assim numa:: vanguarda... que pode ser comparada a qualquer cidade... no exterior... [né?;12,788490000000138
1047,276;1050,43728;...;3,1612800000000334
1054,51081;1054,75296;...;0,24215000000003783
1060,11785;1060,73174;...;0,6138899999998557
1062,68105;1063,35109;...;0,6700400000001991
1072,90714;1074,00456;...;1,0974200000000565
1089,82977;1091,01213;...;1,182360000000017
1101,92636;1110,41157;...;8,485210000000052
1110,41157;1112,08627;eu ia no correio... [não é?;1,6747000000000298
1112,08627;1113,92;...;1,8337300000000596
1113,92;1116,70962;[não de maneira geral eu deixava no próprio hotel sabe?;2,7896200000000135
1116,70962;1117,46723;...;0,757609999999886
1131,80968;1132,30148;...;0,491800000000012
1140,44932;1140,82507;...;0,3757500000001528
1148,83082;1149,15926;...;0,3284400000000005
1154,07074;1154,82147;...;0,7507300000002033
1160,55568;1161,69844;...;1,142759999999953
1168,41478;1168,70495;...;0,29016999999998916
1169,92599;1170,54179;...;0,6158000000000357
1177,95366;1179,08177;...;1,128110000000106
1192,42348;1193,08655;...;0,6630700000000616
1202,99485;1203,58978;...;0,5949299999999766
1207,91296;1208,3586;...;0,4456399999999121
1219,68217;1220,03569;...;0,3535199999998895
1228,31863;1228,95202;...;0,633389999999963
1247,22907;1248,02357;...;0,7944999999999709
1254,67201;1255,4193;...;0,7472900000000209
1271,10519;1271,4388;...;0,3336099999999078
