path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_DID_137_133.52276_136.74.wav;133,52276;136,74;o que se apresenta diferente entre Belo Horizonte e São Paulo (principalmente)?;o que se apresenta diferente entre belo horizonte e são paulo principalmente;3,217240000000004;o que se presente diferente entre meu horizonte e são paulo a;;[{'text': 'o', 'timestamp': (0.12, 0.14)}, {'text': 'que', 'timestamp': (0.18, 0.24)}, {'text': 'se', 'timestamp': (0.28, 0.36)}, {'text': 'presente', 'timestamp': (0.44, 0.7)}, {'text': 'diferente', 'timestamp': (0.78, 1.12)}, {'text': 'entre', 'timestamp': (1.24, 1.36)}, {'text': 'meu', 'timestamp': (1.44, 1.52)}, {'text': 'horizonte', 'timestamp': (1.58, 1.96)}, {'text': 'e', 'timestamp': (2.04, 2.06)}, {'text': 'são', 'timestamp': (2.1, 2.2)}, {'text': 'paulo', 'timestamp': (2.3, 2.5)}, {'text': 'a', 'timestamp': (2.7, 2.72)}];0,25;0,25;0,4375;0,23684210526315788
./audios/SP_DID_137_169.85847_170.52.wav;169,85847;170,52;eu já;eu já;0,6615299999999991;arozi;;[{'text': 'arozi', 'timestamp': (1.0, 1.32)}];1,0;1,0;1,0;1,0
./audios/SP_DID_137_174.27532_174.6708.wav;174,27532;174,6708;[eu gosto;eu gosto;0,3954800000000205;a boa;;[{'text': 'a', 'timestamp': (1.0, 1.02)}, {'text': 'boa', 'timestamp': (1.08, 1.24)}];1,0;1,0;1,0;0,75
./audios/SP_DID_137_175.09693_175.90014.wav;175,09693;175,90014;(muito) [bonita né?;muito bonita né;0,8032100000000071;como dia venda;;[{'text': 'como', 'timestamp': (0.98, 1.16)}, {'text': 'dia', 'timestamp': (1.24, 1.4)}, {'text': 'venda', 'timestamp': (1.48, 1.72)}];1,0;1,0;1,0;0,8
./audios/SP_DID_137_347.38_356.19247.wav;347,38;356,19247;e escuta se o senhor... quisesse no caso mostrar a cidade de São Paulo... para uma pessoa que:: não:: nunca veio aqui:: gostaria de conhecer onde o senhor levaria?;e escuta se o senhor quisesse no caso mostrar a cidade de são paulo para uma pessoa que não nunca veio aqui gostaria de conhecer onde o senhor levaria;8,812470000000019;e esta se o shoquiser assim no caso mostrar a cidade de são paulo uma pessoa que não nunca veio aqui gostaria de conhecer onde sou a imagem;;[{'text': 'e', 'timestamp': (0.2, 0.26)}, {'text': 'esta', 'timestamp': (0.3, 0.56)}, {'text': 'se', 'timestamp': (0.68, 0.74)}, {'text': 'o', 'timestamp': (0.94, 0.96)}, {'text': 'shoquiser', 'timestamp': (1.08, 1.92)}, {'text': 'assim', 'timestamp': (1.98, 2.18)}, {'text': 'no', 'timestamp': (2.2, 2.28)}, {'text': 'caso', 'timestamp': (2.34, 2.52)}, {'text': 'mostrar', 'timestamp': (2.64, 2.98)}, {'text': 'a', 'timestamp': (3.02, 3.04)}, {'text': 'cidade', 'timestamp': (3.1, 3.32)}, {'text': 'de', 'timestamp': (3.36, 3.4)}, {'text': 'são', 'timestamp': (3.46, 3.58)}, {'text': 'paulo', 'timestamp': (3.7, 3.96)}, {'text': 'uma', 'timestamp': (4.46, 4.54)}, {'text': 'pessoa', 'timestamp': (4.6, 4.86)}, {'text': 'que', 'timestamp': (4.96, 5.02)}, {'text': 'não', 'timestamp': (5.34, 5.42)}, {'text': 'nunca', 'timestamp': (5.84, 6.02)}, {'text': 'veio', 'timestamp': (6.12, 6.3)}, {'text': 'aqui', 'timestamp': (6.36, 6.54)}, {'text': 'gostaria', 'timestamp': (6.86, 7.16)}, {'text': 'de', 'timestamp': (7.2, 7.24)}, {'text': 'conhecer', 'timestamp': (7.3, 7.68)}, {'text': 'onde', 'timestamp': (7.78, 7.86)}, {'text': 'sou', 'timestamp': (7.92, 8.02)}, {'text': 'a', 'timestamp': (8.04, 8.06)}, {'text': 'imagem', 'timestamp': (8.1, 8.38)}];0,2413793103448276;0,2413793103448276;0,40394088669950745;0,19333333333333333
./audios/SP_DID_137_418.36543_422.39374.wav;418,36543;422,39374;[você conhece assim algum museu no exterior que tenha lhe chamado a atenção?;você conhece assim algum museu no exterior que tenha lhe chamado a atenção;4,028309999999976;sim e vamos ver no exterior e o solapante;;[{'text': 'sim', 'timestamp': (0.74, 0.86)}, {'text': 'e', 'timestamp': (0.92, 0.94)}, {'text': 'vamos', 'timestamp': (1.08, 1.3)}, {'text': 'ver', 'timestamp': (1.44, 1.62)}, {'text': 'no', 'timestamp': (1.74, 1.82)}, {'text': 'exterior', 'timestamp': (1.98, 2.54)}, {'text': 'e', 'timestamp': (2.84, 2.86)}, {'text': 'o', 'timestamp': (3.04, 3.06)}, {'text': 'solapante', 'timestamp': (3.14, 3.86)}];0,8461538461538461;0,8461538461538461;0,9658119658119658;0,6486486486486487
./audios/SP_DID_137_423.32799_425.30688.wav;423,32799;425,30688;ah dá para descrever (aqui) para a gente?;ah dá para descrever aqui para a gente;1,9788899999999785;a data de crentes e serenos;;[{'text': 'a', 'timestamp': (0.16, 0.18)}, {'text': 'data', 'timestamp': (0.24, 0.48)}, {'text': 'de', 'timestamp': (0.54, 0.6)}, {'text': 'crentes', 'timestamp': (0.68, 1.12)}, {'text': 'e', 'timestamp': (1.2, 1.22)}, {'text': 'serenos', 'timestamp': (1.28, 1.88)}];1,0;1,0;1,0;0,5789473684210527
./audios/SP_DID_137_481.12587_484.37872.wav;481,12587;484,37872;e qual a diferença básica (que haveria) entre esses três museus?;e qual a diferença básica que haveria entre esses três museus;3,2528499999999667;com uma diferença básica deveria bendizer;;[{'text': 'com', 'timestamp': (0.02, 0.1)}, {'text': 'uma', 'timestamp': (0.12, 0.2)}, {'text': 'diferença', 'timestamp': (0.24, 0.66)}, {'text': 'básica', 'timestamp': (0.78, 1.26)}, {'text': 'deveria', 'timestamp': (1.38, 1.9)}, {'text': 'bendizer', 'timestamp': (2.36, 3.18)}];0,8181818181818182;0,8181818181818182;0,9393939393939394;0,5245901639344263
./audios/SP_DID_137_566.84732_570.07384.wav;566,84732;570,07384;no caso esses museus estariam situados ONde dentro da cidade?;no caso esses museus estariam situados onde dentro da cidade;3,2265200000000505;no caso desses museus estejam situados ones dentro das cidades;;[{'text': 'no', 'timestamp': (0.2, 0.26)}, {'text': 'caso', 'timestamp': (0.32, 0.46)}, {'text': 'desses', 'timestamp': (0.48, 0.72)}, {'text': 'museus', 'timestamp': (0.78, 1.1)}, {'text': 'estejam', 'timestamp': (1.16, 1.44)}, {'text': 'situados', 'timestamp': (1.48, 2.0)}, {'text': 'ones', 'timestamp': (2.06, 2.32)}, {'text': 'dentro', 'timestamp': (2.34, 2.52)}, {'text': 'das', 'timestamp': (2.54, 2.62)}, {'text': 'cidades', 'timestamp': (2.66, 3.1)}];0,5;0,5;0,75;0,13333333333333333
./audios/SP_DID_137_660.89331_663.08.wav;660,89331;663,08;o senhor disse que:: foi na época de frio né?;o senhor disse que foi na época de frio né;2,1866899999999987;você disse que foi na época de frio né;;[{'text': 'você', 'timestamp': (0.06, 0.18)}, {'text': 'disse', 'timestamp': (0.26, 0.4)}, {'text': 'que', 'timestamp': (0.46, 0.52)}, {'text': 'foi', 'timestamp': (0.74, 0.86)}, {'text': 'na', 'timestamp': (0.92, 0.96)}, {'text': 'época', 'timestamp': (1.04, 1.28)}, {'text': 'de', 'timestamp': (1.36, 1.4)}, {'text': 'frio', 'timestamp': (1.54, 1.78)}, {'text': 'né', 'timestamp': (1.9, 1.96)}];0,2;0,2;0,28888888888888886;0,19047619047619047
