start_sec;end_sec;mark;text;duration
11,46261;11,70029;isso;isso;0,237680000000001
599,95067;600,27299;uhum;aham;0,3223200000001043
1641,87501;1649,4068;ahn... para SER procurador do Estado... a profissão é específica não pode ser outra profissão nem assessoria nada nada;ah para ser procurador do estado a profissão é específica não pode ser outra profissão nem assessoria nada nada;7,531790000000001
1914,28841;1914,93696;por quê é?;por quê é;0,6485499999998865
2401,75296;2404,34777;o seu marido sempre exerceu essa profissão que ele tem agora?;o seu marido sempre exerceu essa profissão que ele tem agora;2,5948100000000522
3661,41244;3663,60938;hum::... dez minutos;uh dez minutos;2,196939999999813
3682,82059;3684,4716;( ) entre vocês duas não é?;entre vocês duas não é;1,651010000000042
3691,6357;3691,96201;sim;sim;0,326310000000376
3693,93376;3694,2698;é;é;0,3360400000001391
3704,55829;3705,6687;aqui não não tem;aqui não não tem;1,110410000000229
3747,94253;3756,26506;é não não... a senhora poderia usar... o telefone não é público não é:: da secretaria lá da da portaria da::;é não não a senhora poderia usar o telefone não é público não é da secretaria lá da da portaria da;8,32253000000037
4,1183;4,69153;a senhora;a senhora;0,5732300000000006
5,47537;8,11992;procurou dar espaço de tempo entre um e OUtro;procurou dar espaço de tempo entre um e outro;2,6445500000000006
11,46261;11,70029;isso;isso;0,237680000000001
592,65085;593,51168;hoRÁrio?;horário;0,8608299999999645
599,95067;600,27299;uhum;aham;0,3223200000001043
668,77508;669,7703;essa refeição?;essa refeição;0,9952200000000175
1164,43822;1165,02694;Heloísa;heloísa;0,5887199999999666
1165,02694;1165,70079;que eles dão;que eles dão;0,6738500000001295
1166,13347;1167,82163;para os concursados assumirem?;para os concursados assumirem;1,6881599999999253
1295,76892;1297,25323;você falou em:: carreira;você falou em carreira;1,4843100000000504
1297,53058;1298,66051;boa para a mulher né?;boa para a mulher né;1,1299299999998311
1299,12276;1300,40532;que tipo de carreiras;que tipo de carreiras;1,2825600000001032
1300,91893;1301,63798;fora essa;fora essa;0,7190499999999247
1302,18241;1304,15466;seriam digamos CONveniente;seriam digamos conveniente;1,972250000000031
1641,87501;1642,39222;ahn;ah;0,5172099999999773
1642,82347;1644,49513;para SER procurador do Estado;para ser procurador do estado;1,6716599999999744
1644,99307;1649,4068;a profissão é específica não pode ser outra profissão nem assessoria nada nada;a profissão é específica não pode ser outra profissão nem assessoria nada nada;4,413729999999987
1914,28841;1914,93696;por quê é?;por quê é;0,6485499999998865
1976,25826;1979,48778;dentro dessas difíceis de serem encontradas;dentro dessas difíceis de serem encontradas;3,229519999999866
1980,80344;1982,93999;qual seria uma outra assim muito::;qual seria uma outra assim muito;2,1365500000001703
2401,75296;2404,34777;o seu marido sempre exerceu essa profissão que ele tem agora?;o seu marido sempre exerceu essa profissão que ele tem agora;2,5948100000000522
2651,92347;2653,48347;na sua casa já há alguma tendência?;na sua casa já há alguma tendência;1,5599999999999454
2656,66579;2656,85969;é;é;0,1938999999997577
2657,13207;2658,48935;(em relação à profissão);em relação à profissão;1,3572799999997187
3360,93977;3362,31317;escolher uma carreira;escolher uma carreira;1,3733999999999469
3363,34079;3365,65832;o que as levou escolher a carreira?;o que as levou escolher a carreira;2,317529999999806
3661,41244;3661,78745;hum::;uh;0,3750099999997474
3662,50824;3663,60938;dez minutos;dez minutos;1,1011399999997593
3682,82059;3684,4716;( ) entre vocês duas não é?;entre vocês duas não é;1,651010000000042
3691,6357;3691,96201;sim;sim;0,326310000000376
3693,93376;3694,2698;é;é;0,3360400000001391
3700,99443;3701,72706;a senhora acha que;a senhora acha que;0,7326299999999719
3704,55829;3705,6687;aqui não não tem;aqui não não tem;1,110410000000229
3747,94253;3748,97989;é não não;é não não;1,0373600000002625
3749,09678;3750,26981;a senhora poderia usar;a senhora poderia usar;1,173029999999926
3751,5312;3752,76383;o telefone não é público;o telefone não é público;1,232629999999972
3753,38235;3756,26506;não é:: da secretaria lá da da portaria da::;não é da secretaria lá da da portaria da;2,8827100000003156
0,08305;2,62697;(uma) de no::ve... e a outra de seis;uma de nove e a outra de seis;2,54392
12,3464;18,02388;a p/ a p/... é... a programaÇÃO... havia sido planejada... mas não deu certo;a p a p é a programação havia sido planejada mas não deu certo;5,677479999999999
21,8952;22,22326;não;não;0,3280600000000007
24,33224;29,40114;não justamente porque a tabela não::... não deu certo é que:: vieram ao acaso;não justamente porque a tabela não não deu certo é que vieram ao acaso;5,068900000000003
35,60679;36,45344;então;então;0,8466500000000039
53,04495;53,51326;e::;e;0,46831000000000245
57,24922;57,42215;é;é;0,17293000000000092
57,71382;66,87939;e:: MAS::... depois diante das dificulDAdes de conseguir... QUEM me ajudasse... nó::s paramos no sexto filho... não é?;e mas depois diante das dificuldades de conseguir quem me ajudasse nós paramos no sexto filho não é;9,165570000000002
67,57815;69,42675;e::... estamos muito contentes e;e estamos muito contentes e;1,8486000000000047
110,76831;111,12;enfim;enfim;0,35169000000000494
238,49986;239,21286;ele é menor?;ele é menor;0,7129999999999939
284,54604;284,79266;é;é;0,24662000000000717
316,81394;320,37169;então esses cinco saem... e vão... para Pinheiros::;então esses cinco saem e vão para pinheiros;3,5577499999999986
364,47597;376,18196;manter contato com entidades aqui do bairro... com::... os pais de alunos e tudo mais quer dizer que dá trabalho então é um corre-corre... durante a semana toda... né?;manter contato com entidades aqui do bairro com os pais de alunos e tudo mais quer dizer que dá trabalho então é um correcorre durante a semana toda né;11,705989999999986
400,68027;404,34189;então a minha de onze anos:: ela supervisiona o trabalho dos cinco;então a minha de onze anos ela supervisiona o trabalho dos cinco;3,661619999999971
431,53663;432,65216;é:: de vez em quando sai;é de vez em quando sai;1,1155299999999784
434,21821;442,02146;ela::... éh:: tem um temperamento assim muito:: orDEIro então ela::... olha pelos irmãos;ela eh tem um temperamento assim muito ordeiro então ela olha pelos irmãos;7,803249999999991
446,41748;446,82782;cuida;cuida;0,4103399999999624
447,5763;448,49269;e cuida de si;e cuida de si;0,9163899999999785
448,59445;452,24224;é muito exigente coMIgo e com o meu marido... essa menina;é muito exigente comigo e com o meu marido essa menina;3,6477899999999863
452,95788;455,07249;sabe ela não admite uma falha nossa;sabe ela não admite uma falha nossa;2,1146100000000274
489,13874;496,17115;porque::... ela está assumindo... tarefas assim... MUIto precocemente... não é?;porque ela está assumindo tarefas assim muito precocemente não é;7,032410000000027
546,64257;546,85923;é;é;0,21666000000004715
701,40877;701,75332;(ham);ah;0,34455000000002656
723,77557;724,0063;(sim);sim;0,2307299999999941
752,81847;759,96;agora... talvez ele goste de ficar na cama até mais tarde... não seria conveniente mudá-lo de período escolar?;agora talvez ele goste de ficar na cama até mais tarde não seria conveniente mudálo de período escolar;7,141529999999989
801,28629;801,50117;hum;uh;0,21487999999999374
854,31151;854,48934;(hum);uh;0,17782999999997173
872,15743;875,53596;ainda não deu para... ( );ainda não deu para;3,378530000000069
904,49224;906,56986;éh:: como assistente social sabe?;eh como assistente social sabe;2,0776199999999108
923,09943;923,39211;não;não;0,2926800000000185
931,05831;932,73593;agora... já é mais fácil;agora já é mais fácil;1,6776200000000472
935,66635;936,39604;o:: pois é;o pois é;0,7296900000000051
952,06664;953,51774;agora vai haver outro concurso;agora vai haver outro concurso;1,4510999999999967
1029,01312;1030,01983;mas vai ser logo;mas vai ser logo;1,0067099999998845
1077,10229;1077,57794;certo;certo;0,4756499999998596
1089,90175;1090,17098;hum;uh;0,2692300000001069
1092,75182;1093,13772;certo;certo;0,38589999999999236
1098,84128;1099,35283;certo;certo;0,5115499999999429
1115,34313;1115,63709;certo;certo;0,29395999999997
1152,84992;1153,28963;(certo);certo;0,43970999999987725
1222,89871;1223,38105;sei;sei;0,482340000000022
1250,64567;1251,50163;(nossa);nossa;0,8559599999998682
1275,72741;1276,08954;é;é;0,3621299999999792
1282,04164;1283,74878;não podem advogar::;não podem advogar;1,7071399999999812
1318,97496;1319,40639;é;é;0,43143000000009124
1434,55709;1440,20432;para elas aquele... éh... ordenado é ótimo... MAS PAra um homem não é;para elas aquele eh ordenado é ótimo mas para um homem não é;5,647230000000036
1453,48626;1456,48916;é humano né? ah:: (definem-no);é humano né ah definemno;3,0029000000001815
1524,43527;1526,43889;não ela é entusiasta ela está::;não ela é entusiasta ela está;2,0036199999999553
1565,46466;1566,55479;mas parece-me que agora;mas pareceme que agora;1,0901299999998173
1566,55479;1570,20696;e:: porque ela queria SOZINHA... fazer tudo... sabe?;e porque ela queria sozinha fazer tudo sabe;3,652170000000069
1574,29634;1577,64835;os assessores... nem sempre tinham oportunidades;os assessores nem sempre tinham oportunidades;3,3520099999998365
1577,75505;1597,11762;agora não parece-me que ela compreen-deu... a::... a engrenagem da hisTÓria... que ela... tem que ser subordi/ s/ tem que se subor-bordinar... AO Secretário da Justiça... ela não é autônoma... não é?... ela tem que se subo/ bordinar ao Secretário da Justiça... e tem que:: atender aos seus... assessores não é?;agora não pareceme que ela compreendeu a a engrenagem da história que ela tem que ser subordi s tem que se suborbordinar ao secretário da justiça ela não é autônoma não é ela tem que se subo bordinar ao secretário da justiça e tem que atender aos seus assessores não é;19,362570000000005
1598,16643;1600,01148;ma::s ela é uma pessoa muito capaz;mas ela é uma pessoa muito capaz;1,845049999999901
1637,91497;1641,01335;ma::s:: é um cargo de confiança... não é?;mas é um cargo de confiança não é;3,0983799999999064
1715,70589;1716,92407;exatamente é;exatamente é;1,2181800000000749
1720,48693;1730,7536;é... o Nélson ele... saiu dos Transportes... há mais ou menos uns:: sete... ou oito anos... e está COmo assessor DO Secretário;é o nélson ele saiu dos transportes há mais ou menos uns sete ou oito anos e está como assessor do secretário;10,266669999999976
1750,35976;1752,01499;não não pode acumular;não não pode acumular;1,6552299999998468
1754,5843;1756,89893;ele é o titular... lá;ele é o titular lá;2,3146300000000792
1757,42355;1759,53811;(eu) tenho impressão que não volta mais para lá;eu tenho impressão que não volta mais para lá;2,114559999999983
1804,95476;1806,15515;advogados do Estado;advogados do estado;1,2003899999999703
1942,35695;1953,62839;é eu tenho a impressão de que há dificuldade porque... o:: o engenheiro agrônomo... ah o:: estudante que se dedicou à Engenharia... Agronômica... ele GOSta... do interior;é eu tenho a impressão de que há dificuldade porque o o engenheiro agrônomo ah o estudante que se dedicou à engenharia agronômica ele gosta do interior;11,271439999999984
