path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_D2_333_0.00482_3.22667.wav;0,00482;3,22667;gostaríamos que dessem as suas opiniões a respeito de televisão;gostaríamos que dessem as suas opiniões a respeito de televisão;3,22185;gostaríamos ce riesse as suas opiniões a respeito de televisão;gostadiamuskɪdɛssuazopiɲjozahɪspɪtʃtelevizɔ;[{'text': 'gostaríamos', 'timestamp': (0.1, 0.6)}, {'text': 'ce', 'timestamp': (0.7, 0.76)}, {'text': 'riesse', 'timestamp': (0.78, 1.0)}, {'text': 'as', 'timestamp': (1.04, 1.08)}, {'text': 'suas', 'timestamp': (1.12, 1.28)}, {'text': 'opiniões', 'timestamp': (1.36, 1.72)}, {'text': 'a', 'timestamp': (1.78, 1.8)}, {'text': 'respeito', 'timestamp': (1.86, 2.16)}, {'text': 'de', 'timestamp': (2.22, 2.26)}, {'text': 'televisão', 'timestamp': (2.32, 2.82)}];0,2;0,2;0,3599999999999999;0,07936507936507936
./audios/SP_D2_333_805.23519_808.13254.wav;805,23519;808,13254;e como vocês veem a evolução da tevê?;e como vocês veem a evolução da tevê;2,8973499999999603;e como vocês vêem a evolução do tevê;iːkomɡoseːzveːɲaɪvuːlusɒlətɪvbɪn;[{'text': 'e', 'timestamp': (0.12, 0.14)}, {'text': 'como', 'timestamp': (0.28, 0.44)}, {'text': 'vocês', 'timestamp': (0.58, 0.94)}, {'text': 'vêem', 'timestamp': (1.08, 1.3)}, {'text': 'a', 'timestamp': (1.36, 1.38)}, {'text': 'evolução', 'timestamp': (1.46, 2.0)}, {'text': 'do', 'timestamp': (2.08, 2.14)}, {'text': 'tevê', 'timestamp': (2.24, 2.5)}];0,25;0,25;0,4375;0,05555555555555555
./audios/SP_D2_333_1656.87414_1658.40387.wav;1656,87414;1658,40387;e sobre o cinema?;e sobre o cinema;1,5297300000001997;soseo cinema;stasɛlstmneːma;[{'text': 'soseo', 'timestamp': (0.24, 0.6)}, {'text': 'cinema', 'timestamp': (0.78, 1.26)}];0,75;0,75;0,875;0,3125
./audios/SP_D2_333_1659.86477_1661.23831.wav;1659,86477;1661,23831;[o cinema atual?;o cinema atual;1,3735400000000482;nose lepadetanar;nusidezadetʃɛlno;[{'text': 'nose', 'timestamp': (0.06, 0.24)}, {'text': 'lepadetanar', 'timestamp': (0.26, 0.82)}];1,0;1,0;1,0;0,7857142857142857
./audios/SP_D2_333_1844.35742_1846.76004.wav;1844,35742;1846,76004;a que se deve esse hiato que a senhora mencionou?;a que se deve esse hiato que a senhora mencionou;2,4026199999998425;e se deve esse ar porque a senhora vesua;isidɛbisjaːtkəsunɛvɪsm;[{'text': 'e', 'timestamp': (0.08, 0.1)}, {'text': 'se', 'timestamp': (0.22, 0.28)}, {'text': 'deve', 'timestamp': (0.36, 0.54)}, {'text': 'esse', 'timestamp': (0.6, 0.82)}, {'text': 'ar', 'timestamp': (0.9, 0.96)}, {'text': 'porque', 'timestamp': (1.16, 1.38)}, {'text': 'a', 'timestamp': (1.42, 1.46)}, {'text': 'senhora', 'timestamp': (1.5, 1.68)}, {'text': 'vesua', 'timestamp': (1.78, 2.22)}];0,5;0,5;0,7222222222222222;0,3541666666666667
./audios/SP_D2_333_1847.16_1848.23969.wav;1847,16;1848,23969;esse hiato;esse hiato;1,0796900000000278;esse ato;ɪsjat;[{'text': 'esse', 'timestamp': (0.08, 0.3)}, {'text': 'ato', 'timestamp': (0.46, 0.86)}];0,5;0,5;0,75;0,2
./audios/SP_D2_333_2146.79058_2147.03527.wav;2146,79058;2147,03527;[não;não;0,24468999999999141;esso;;[{'text': 'esso', 'timestamp': (1.02, 1.26)}];1,0;1,0;1,0;1,0
./audios/SP_D2_333_2147.03527_2148.18372.wav;2147,03527;2148,18372;mais [( );mais;1,148450000000139;as magina;maʃmkasilinu;[{'text': 'as', 'timestamp': (0.06, 0.14)}, {'text': 'magina', 'timestamp': (0.52, 0.9)}];2,0;1,0;1,0;1,5
./audios/SP_D2_333_2148.18372_2149.92116.wav;2148,18372;2149,92116;(e)... e quanto ao teatro?;e e quanto ao teatro;1,7374399999998786;enquanto o teatro;dimatoʃaːt;[{'text': 'enquanto', 'timestamp': (0.44, 0.74)}, {'text': 'o', 'timestamp': (0.8, 0.84)}, {'text': 'teatro', 'timestamp': (1.04, 1.64)}];0,8;0,8;0,9333333333333333;0,2
./audios/SP_D2_333_2435.74437_2436.31165.wav;2435,74437;2436,31165;[uhum;aham;0,5672800000002098;o garb;ungaɾbi;[{'text': 'o', 'timestamp': (1.02, 1.04)}, {'text': 'garb', 'timestamp': (1.16, 1.46)}];2,0;1,0;1,0;1,25
