path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_D2_333_0.00482_3.22667.wav;0,00482;3,22667;gostaríamos que dessem as suas opiniões a respeito de televisão;gostaríamos que dessem as suas opiniões a respeito de televisão;3,22185;não gostaríamos que desse suas opiniões a respeito de televisão;gostadiamuskɪdɛssuazopiɲjozahɪspɪtʃtelevizɔ;[{'text': 'não', 'timestamp': (0.02, 0.14)}, {'text': 'gostaríamos', 'timestamp': (0.16, 0.6)}, {'text': 'que', 'timestamp': (0.7, 0.76)}, {'text': 'desse', 'timestamp': (0.82, 1.0)}, {'text': 'suas', 'timestamp': (1.14, 1.28)}, {'text': 'opiniões', 'timestamp': (1.36, 1.72)}, {'text': 'a', 'timestamp': (1.78, 1.8)}, {'text': 'respeito', 'timestamp': (1.86, 2.16)}, {'text': 'de', 'timestamp': (2.22, 2.26)}, {'text': 'televisão', 'timestamp': (2.34, 2.88)}];0,3;0,2727272727272727;0,3599999999999999;0,12698412698412698
./audios/SP_D2_333_805.23519_808.13254.wav;805,23519;808,13254;e como vocês veem a evolução da tevê?;e como vocês veem a evolução da tevê;2,8973499999999603;e como vocês vêm a evolução da tp;iːkomɡoseːzveːɲaɪvuːlusɒlətɪvbɪn;[{'text': 'e', 'timestamp': (0.16, 0.18)}, {'text': 'como', 'timestamp': (0.28, 0.46)}, {'text': 'vocês', 'timestamp': (0.58, 0.92)}, {'text': 'vêm', 'timestamp': (1.08, 1.3)}, {'text': 'a', 'timestamp': (1.36, 1.38)}, {'text': 'evolução', 'timestamp': (1.46, 2.02)}, {'text': 'da', 'timestamp': (2.1, 2.14)}, {'text': 'tp', 'timestamp': (2.24, 2.46)}];0,25;0,25;0,4375;0,1388888888888889
./audios/SP_D2_333_1656.87414_1658.40387.wav;1656,87414;1658,40387;e sobre o cinema?;e sobre o cinema;1,5297300000001997;tãseratemema;stasɛlstmneːma;[{'text': 'tãseratemema', 'timestamp': (0.26, 1.28)}];1,0;1,0;1,0;0,6875
./audios/SP_D2_333_1659.86477_1661.23831.wav;1659,86477;1661,23831;[o cinema atual?;o cinema atual;1,3735400000000482;osiris aenteanort;nusidezadetʃɛlno;[{'text': 'osiris', 'timestamp': (0.1, 0.38)}, {'text': 'aenteanort', 'timestamp': (0.42, 1.04)}];1,0;1,0;1,0;0,9285714285714286
./audios/SP_D2_333_1844.35742_1846.76004.wav;1844,35742;1846,76004;a que se deve esse hiato que a senhora mencionou?;a que se deve esse hiato que a senhora mencionou;2,4026199999998425;quem se deve sear poqesoaravesu;isidɛbisjaːtkəsunɛvɪsm;[{'text': 'quem', 'timestamp': (0.08, 0.18)}, {'text': 'se', 'timestamp': (0.26, 0.3)}, {'text': 'deve', 'timestamp': (0.38, 0.54)}, {'text': 'sear', 'timestamp': (0.78, 1.0)}, {'text': 'poqesoaravesu', 'timestamp': (1.2, 2.0)}];0,8;0,8;0,9199999999999999;0,5625
./audios/SP_D2_333_1847.16_1848.23969.wav;1847,16;1848,23969;esse hiato;esse hiato;1,0796900000000278;esse arto;ɪsjat;[{'text': 'esse', 'timestamp': (0.18, 0.38)}, {'text': 'arto', 'timestamp': (0.5, 0.86)}];0,5;0,5;0,75;0,3
./audios/SP_D2_333_2146.79058_2147.03527.wav;2146,79058;2147,03527;[não;não;0,24468999999999141;ess;;[{'text': 'ess', 'timestamp': (1.04, 1.2)}];1,0;1,0;1,0;1,0
./audios/SP_D2_333_2147.03527_2148.18372.wav;2147,03527;2148,18372;mais [( );mais;1,148450000000139;acho vamasn não;maʃmkasilinu;[{'text': 'acho', 'timestamp': (0.12, 0.22)}, {'text': 'vamasn', 'timestamp': (0.52, 0.8)}, {'text': 'não', 'timestamp': (0.9, 1.0)}];3,0;1,0;1,0;3,25
./audios/SP_D2_333_2148.18372_2149.92116.wav;2148,18372;2149,92116;(e)... e quanto ao teatro?;e e quanto ao teatro;1,7374399999998786;epato teatro;dimatoʃaːt;[{'text': 'epato', 'timestamp': (0.44, 0.76)}, {'text': 'teatro', 'timestamp': (1.06, 1.64)}];0,8;0,8;0,9;0,45
./audios/SP_D2_333_2435.74437_2436.31165.wav;2435,74437;2436,31165;[uhum;aham;0,5672800000002098;ugarbe;ungaɾbi;[{'text': 'ugarbe', 'timestamp': (1.02, 1.52)}];1,0;1,0;1,0;1,25
./audios/SP_D2_333_2469.36412_2470.71577.wav;2469,36412;2470,71577;[aqui em São Paulo ( );aqui em são paulo;1,3516499999996086;não dá vontade n;əoɡavotaːdʒɪnɪ;[{'text': 'não', 'timestamp': (0.36, 0.44)}, {'text': 'dá', 'timestamp': (0.48, 0.54)}, {'text': 'vontade', 'timestamp': (0.66, 1.04)}, {'text': 'n', 'timestamp': (1.12, 1.14)}];1,0;1,0;1,0;0,8235294117647058
