path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_D2_062_0.01865_14.06279.wav;0,01865;14,06279;bom... o::... vocês poderiam no caso falar então de iNÍcio para nós né?... se o CLIma de São Paulo... que é um clima assim um pouco ((risos))... confuso... afeta por exemplo a vida de um dos dois;bom o vocês poderiam no caso falar então de início para nós né se o clima de são paulo que é um clima assim um pouco confuso afeta por exemplo a vida de um dos dois;14,04414;bom vocês poderiam no caso falar então de início pra nósna se o clima de são paulo que é um clima sim o lopoconfuso afeta por exemplo a vida genlide;movosispudidimunokaːzfntoʒiissukamaːsnɛsiukmədɪsapalkjukliməsinopupukofuafɛrtaporezɛnplazildejelile;[{'text': 'bom', 'timestamp': (0.14, 0.28)}, {'text': 'vocês', 'timestamp': (1.0, 1.24)}, {'text': 'poderiam', 'timestamp': (1.34, 1.68)}, {'text': 'no', 'timestamp': (1.76, 1.82)}, {'text': 'caso', 'timestamp': (1.92, 2.16)}, {'text': 'falar', 'timestamp': (2.24, 2.42)}, {'text': 'então', 'timestamp': (2.5, 2.74)}, {'text': 'de', 'timestamp': (2.86, 2.9)}, {'text': 'início', 'timestamp': (2.98, 3.46)}, {'text': 'pra', 'timestamp': (3.54, 3.66)}, {'text': 'nósna', 'timestamp': (3.76, 4.12)}, {'text': 'se', 'timestamp': (5.22, 5.28)}, {'text': 'o', 'timestamp': (5.38, 5.4)}, {'text': 'clima', 'timestamp': (5.52, 5.86)}, {'text': 'de', 'timestamp': (5.96, 6.0)}, {'text': 'são', 'timestamp': (6.14, 6.26)}, {'text': 'paulo', 'timestamp': (6.38, 6.68)}, {'text': 'que', 'timestamp': (6.96, 7.04)}, {'text': 'é', 'timestamp': (7.14, 7.16)}, {'text': 'um', 'timestamp': (7.26, 7.3)}, {'text': 'clima', 'timestamp': (7.42, 7.7)}, {'text': 'sim', 'timestamp': (7.86, 8.0)}, {'text': 'o', 'timestamp': (8.08, 8.1)}, {'text': 'lopoconfuso', 'timestamp': (8.32, 10.5)}, {'text': 'afeta', 'timestamp': (11.4, 11.96)}, {'text': 'por', 'timestamp': (12.04, 12.12)}, {'text': 'exemplo', 'timestamp': (12.18, 12.48)}, {'text': 'a', 'timestamp': (12.54, 12.56)}, {'text': 'vida', 'timestamp': (12.64, 12.96)}, {'text': 'genlide', 'timestamp': (13.12, 13.76)}];0,3333333333333333;0,3333333333333333;0,4666666666666667;0,1524390243902439
./audios/SP_D2_062_14.19491_17.11404.wav;14,19491;17,11404;então vocês conversando gostaria que vocês falassem assim sobre o clima;então vocês conversando gostaria que vocês falassem assim sobre o clima;2,919129999999999;tenefeito comvit de família ese falarsa sluso do clim;takeskonvesonidesektepalasɛsisodukel;[{'text': 'tenefeito', 'timestamp': (0.08, 0.54)}, {'text': 'comvit', 'timestamp': (0.6, 0.88)}, {'text': 'de', 'timestamp': (0.94, 0.98)}, {'text': 'família', 'timestamp': (1.04, 1.28)}, {'text': 'ese', 'timestamp': (1.62, 1.74)}, {'text': 'falarsa', 'timestamp': (1.9, 2.26)}, {'text': 'sluso', 'timestamp': (2.3, 2.56)}, {'text': 'do', 'timestamp': (2.62, 2.68)}, {'text': 'clim', 'timestamp': (2.74, 2.86)}];1,0;1,0;1,0;0,6056338028169014
./audios/SP_D2_062_17.11404_20.23563.wav;17,11404;20,23563;é um... é um... pouquinho chato mas vamos ver se dá né?;é um é um pouquinho chato mas vamos ver se dá né;3,121590000000001;não éa equensalto mas veu ve quira;obevabesisatmaðuesihi;[{'text': 'não', 'timestamp': (0.1, 0.18)}, {'text': 'éa', 'timestamp': (0.64, 0.84)}, {'text': 'equensalto', 'timestamp': (1.46, 2.08)}, {'text': 'mas', 'timestamp': (2.14, 2.24)}, {'text': 'veu', 'timestamp': (2.3, 2.38)}, {'text': 've', 'timestamp': (2.44, 2.5)}, {'text': 'quira', 'timestamp': (2.6, 2.82)}];0,9166666666666666;0,9166666666666666;0,9880952380952381;0,625
./audios/SP_D2_062_398.7564_399.01999.wav;398,7564;399,01999;(é);é;0,263590000000022;pe;b;[{'text': 'pe', 'timestamp': (1.0, 1.08)}];1,0;1,0;1,0;2,0
./audios/SP_D2_062_617.34794_623.04673.wav;617,34794;623,04673;bom no caso você perguntou para ele o como é que ele dividia o tempo (mas) e você Cláudio como é que divide... o seu tempo?;bom no caso você perguntou para ele o como é que ele dividia o tempo mas e você cláudio como é que divide o seu tempo;5,698790000000031;então e tabartade tapel  e tanão teivividia no vo totado não teviveases;dabetabaastidetabɛletlatedidiuonarbosttalntidiiesɛt;[{'text': 'então', 'timestamp': (0.04, 0.16)}, {'text': 'e', 'timestamp': (0.3, 0.32)}, {'text': 'tabartade', 'timestamp': (0.4, 0.98)}, {'text': 'tapel', 'timestamp': (1.1, 1.4)}, {'text': 'e', 'timestamp': (1.56, 1.58)}, {'text': 'tanão', 'timestamp': (1.7, 1.88)}, {'text': 'teivividia', 'timestamp': (1.96, 2.7)}, {'text': 'no', 'timestamp': (3.28, 3.36)}, {'text': 'vo', 'timestamp': (3.5, 3.56)}, {'text': 'totado', 'timestamp': (3.72, 4.1)}, {'text': 'não', 'timestamp': (4.32, 4.38)}, {'text': 'teviveases', 'timestamp': (4.44, 5.5)}];0,9615384615384616;0,9615384615384616;0,9967948717948718;0,6923076923076923
./audios/SP_D2_062_642.36257_642.74942.wav;642,36257;642,74942;nossa;nossa;0,38684999999998126;e;;[{'text': 'e', 'timestamp': (1.06, 1.08)}];1,0;1,0;1,0;1,0
./audios/SP_D2_062_1229.9619_1230.24686.wav;1229,9619;1230,24686;é;é;0,28495999999995547;;;[];1,0;1,0;1,0;1,0
./audios/SP_D2_062_1674.96386_1676.30657.wav;1674,96386;1676,30657;(se você acha);se você acha;1,3427099999998973;ivope;duft;[{'text': 'ivope', 'timestamp': (0.16, 0.6)}];1,0;1,0;1,0;0,8333333333333334
./audios/SP_D2_062_1785.81726_1786.2249.wav;1785,81726;1786,2249;hum;uh;0,4076399999999012;;;[];1,0;1,0;1,0;1,0
./audios/SP_D2_062_1933.8974_1936.4283.wav;1933,8974;1936,4283;mas dificuldade existe mesmo com as especializações?;mas dificuldade existe mesmo com as especializações;2,530899999999974;ma poquegeravisnando amid cafannaçã;nasitradidlfabtkofandas;[{'text': 'ma', 'timestamp': (0.06, 0.12)}, {'text': 'poquegeravisnando', 'timestamp': (0.28, 1.32)}, {'text': 'amid', 'timestamp': (1.42, 1.6)}, {'text': 'cafannaçã', 'timestamp': (1.66, 2.28)}];1,0;1,0;1,0;0,7254901960784313
